name,total,leaf_ID,angle,hjust,vjust,major_organ2,lvl1,lvl1_leaf,lvl2,lvl2_leaf,n,major_organ3
 ,1965,NA,0,0.5,1.5,NA,,, ,,1,other
abomasum,0,24,82.28571429,1.1,0,gastrointestinal,,,,abomasum,18,not modelled
adipose,17,NA,0,0.5,1.5,adipose,adipose,,,,2,other
adrenal,0,12,41.14285714,1.1,0,endocrine,,,,adrenal,6,not modelled
airway,14,NA,0,0.5,1.5,respiratory,,,airway,,10,respiratory
alveolus,10,95,325.7142857,1.1,0,respiratory,,,,alveolus,10,respiratory
anterior cruciate ligament,1,43,327.4285714,-0.1,0,musculoskeletal,,,,anterior cruciate ligament,10,musculoskeletal
aorta,1,5,17.14285714,1.1,0,cardiovascular,,,,aorta,11,cardiovascular
artery,8,NA,0,0.5,1.5,cardiovascular,,,artery,,11,cardiovascular
barriers,41,NA,0,0.5,1.5,neural,,,barriers,,32,neural
basal ganglion,0,NA,0,0.5,1.6,neural,,,basal ganglion,,32,not modelled
bile duct,2,NA,0,0.5,1.2,"hepatic, pancreatic, biliary",,,bile duct,,12,"hepatic, pancreatic, biliary"
biliary,2,NA,0,0.5,1.7,"hepatic, pancreatic, biliary",,,biliary,,12,"hepatic, pancreatic, biliary"
bladder,0,100,342.8571429,1.1,0,urinary,,,,bladder,10,not modelled
blood,29,4,13.71428571,1.1,0,cardiovascular,,,,blood,11,cardiovascular
blood vessel,95,NA,0,0.5,1.5,cardiovascular,,,blood vessel,,11,cardiovascular
blood-brain barrier,40,50,351.4285714,-0.1,0,neural,,,,blood-brain barrier,32,neural
blood-retinal barrier,0,73,430.2857143,-0.1,0,ocular,,,,blood-retinal barrier,11,not modelled
bone,18,46,337.7142857,-0.1,0,musculoskeletal,,,,bone,10,musculoskeletal
bone marrow,14,35,300,-0.1,0,lymphatic,,,,bone marrow,12,lymphatic
brain,80,NA,0,0.5,1.7,neural,,,brain,,32,neural
brainstem,0,NA,0,0.5,1.5,neural,,,brainstem,,32,not modelled
breast duct,0,41,320.5714286,-0.1,0,mammary,,,,breast duct,3,not modelled
bronchiole,0,96,329.1428571,1.1,0,respiratory,,,,bronchiole,10,not modelled
bronchus,1,97,332.5714286,1.1,0,respiratory,,,,bronchus,10,respiratory
caecum,0,18,61.71428571,1.1,0,gastrointestinal,,,,caecum,18,not modelled
cardiovascular,283,NA,0,0.5,1.5,cardiovascular,cardiovascular,,,,11,cardiovascular
cartilage,9,47,341.1428571,-0.1,0,musculoskeletal,,,,cartilage,10,musculoskeletal
cerebellum,0,53,361.7142857,-0.1,0,neural,,,,cerebellum,32,not modelled
cerebrum,4,NA,0,0.5,1.5,neural,,,cerebrum,,32,neural
cervix,1,85,291.4285714,1.1,0,reproductive,,,,cervix,14,reproductive
choroid,1,66,406.2857143,-0.1,0,ocular,,,,choroid,11,ocular
choroid plexus,0,51,354.8571429,-0.1,0,neural,,,,choroid plexus,32,not modelled
