"Search query: ((((tumor[Text Word] OR cancer[Text Word]) AND (""english""[Language])) AND ((""2011/01/01""[Date - Publication] : ""3000""[Date - Publication]))) AND (""journal article""[Publication Type])) NOT (""retracted publication""[Publication Type] OR ""retraction of publication""[Publication Type] OR ""review""[Publication Type] OR ""comment""[Publication Type])"
Year,Count
2023,72451
2022,164877
2021,170675
2020,161705
2019,146945
2018,137800
2017,130611
2016,124961
2015,123338
2014,116453
2013,110398
2012,103647
2011,93327
2010,13181
2009,360
2008,20
2006,7
2003,1
1998,2
