category_colname,category_renamed,group_name,occurrence,C_filter,organoid_filter,tumor_filter,OoC_filter,ToC_filter,supp_parts,A_filter,B_filter
TF_organ_development,organ development,research interests,1868,A,A,A,A,A,1,A,C
TF_tumor,tumor,research interests,4494,C,A,A,A,A,1,C,A
TF_disease,disease,research interests,6387,A,A,A,A,A,1,A,A
TF_drug_development,drug development,research interests,1764,A,A,A,A,A,1,A,A
TF_drug_delivery,drug delivery,research interests,172,C,C,C,A,A,1,C,A
TF_pharmacokinetics,pharmaco-kinetics/dynamics,research interests,270,C,A,C,A,A,1,A,A
TF_pharmacogenomics,pharmacogenomics,research interests,17,C,C,C,C,C,1,C,A
TF_toxicology,toxicology,research interests,237,C,C,C,A,A,1,A,A
TF_electrophysiology,electrophysiology,research interests,183,C,A,C,A,A,1,C,C
TF_mechanobiology,mechanobiology,research interests,98,C,C,C,A,A,1,C,A
TF_high_throughput_screening,high-throughput screening,research interests,268,C,A,A,A,A,1,C,C
TF_ethics,ethics,research interests,157,C,C,C,C,C,1,C,C
TF_human,human,major research organism,7902,A,A,A,A,A,1,A,A
TF_mouse,mouse,major research organism,3264,A,A,A,A,A,1,A,A
TF_stem_cell,stem cell,cell source,3127,C,C,C,C,C,1,A,A
TF_induced_pluripotent_stem_cell,induced pluripotent stem cell,cell source,980,A,A,A,A,A,1,A,C
TF_embryonic_stem_cell,embryonic stem cell,cell source,262,A,A,A,A,A,1,A,C
TF_adult_stem_cell,adult stem cell,cell source,554,A,C,C,C,C,1,C,C
TF_progenitor_cell,progenitor cell,cell source,222,C,C,C,C,C,1,C,C
TF_tissue,tissue,cell source,79,C,C,C,C,C,1,C,C
TF_pluripotent_stem_cell,pluripotent stem cell,cell source,1726,C,C,C,C,C,1,C,C
TF_adult_cell,adult cell,cell source,822,C,A,A,A,A,1,A,C
TF_tumor_cell,tumor cell,cell source,1547,C,C,A,A,A,1,C,C
TF_ADHD,ADHD,neurological disease,2,C,C,C,C,C,2,C,C
TF_epilepsy,epilepsy,neurological disease,38,A,A,C,C,C,2,A,C
TF_guillain_barre_syndrome,Guillain-Barre syndrome,neurological disease,15,C,C,C,C,C,2,C,C
TF_hypertonia,hypertonia,neurological disease,1,C,C,C,C,C,2,C,C
TF_leigh_syndrome,Leigh syndrome,neurological disease,3,C,C,C,C,C,2,C,C
TF_traumatic_brain_injury,traumatic brain injury,neurological disease,19,C,A,C,C,C,2,A,C
TF_neurodegenerative_disorder,neurodegenerative disorder,neurodegenerative disorder,281,C,A,C,A,A,2,A,A
TF_alzheimers_disease,Alzheimer's disease,neurodegenerative disorder,95,A,A,C,A,A,2,A,C
TF_huntingtons_disease,Huntington's disease,neurodegenerative disorder,8,C,C,C,C,C,2,C,C
TF_parkinsons_disease,Parkinson's disease,neurodegenerative disorder,69,A,A,C,A,A,2,A,C
TF_motor_neuron_disease,motor neuron disease,neurodegenerative disorder,23,C,C,C,C,C,2,A,C
TF_mental_disorder,mental disorder,mental disorder,121,C,A,C,A,A,2,A,C
TF_attentione_deficit,attentione deficit,mental disorder,2,C,C,C,C,C,2,C,C
TF_autism_spectrum,autism spectrum,mental disorder,51,A,A,C,C,C,2,A,C
TF_bipolar_disorders,bipolar disorders,mental disorder,12,C,C,C,C,C,2,C,C
TF_schizophrenia,schizophrenia,mental disorder,44,A,A,C,C,C,2,A,C
TF_macular_degeneration,macular degeneration,eye disease,28,C,A,C,A,A,2,A,C
TF_amaurosis,amaurosis,eye disease,17,C,C,C,C,C,2,C,C
TF_glaucoma,glaucoma,eye disease,13,C,C,C,A,A,2,C,C
TF_retinal_degenerative_disease,retinal degenerative disease,eye disease,104,C,C,C,A,A,2,A,C
TF_retinal_dystrophy,retinal dystrophy,eye disease,52,A,A,C,A,A,2,A,C
TF_retinitis_pigmentosa,retinitis pigmentosa,eye disease,39,A,C,C,A,A,2,A,C
TF_stargardt_disease,stargardt disease,eye disease,6,C,C,C,C,C,2,C,C
TF_acute_respiratory_distress_syndrome,acute respiratory distress syndrome,respiratory disease,11,C,C,C,C,C,2,C,C
TF_chronic_obstructive_pulmonary_disease,chronic obstructive pulmonary disease,respiratory disease,30,A,C,C,A,A,2,A,C
TF_pulmonary_hypertension,pulmonary hypertension,respiratory disease,7,C,C,C,C,C,2,C,C
TF_pulmonary_vascular_disease,pulmonary vascular disease,respiratory disease,6,C,C,C,C,C,2,C,C
TF_respiratory_distress,respiratory distress,respiratory disease,12,C,C,C,C,C,2,A,C
TF_emphysema,emphysema,respiratory disease,19,C,C,C,C,C,2,A,C
TF_asthma,asthma,respiratory disease,16,C,C,C,A,A,2,C,C
TF_aneurysm,aneurysm,cardiovascular disease,12,C,C,C,C,C,2,C,C
TF_arrhythmia,arrhythmia,cardiovascular disease,16,C,C,C,A,A,2,A,C
TF_atherosclerosis,atherosclerosis,cardiovascular disease,20,C,C,C,A,A,2,A,C
