"author","title","journal","abstract","doi","ID","database","status"
"Ingber, D.","'Organ-on-a-chip' technology: On trial","Chemistry and Industry (London)",NA,NA,3188,"Scopus","k"
"Ingber, Don","`Organ-on-a-chip' technology: on trial","CHEMISTRY \& INDUSTRY",NA,NA,3320,"Web of Science","r"
"Vurat, Murat Taner and Ergun, Can and Elcin, Ayse Eser and Elcin, Yasar Murat","3D Bioprinting of Tissue Models with Customized Bioinks",NA,"The ordered assembly of multicellular structures mimicking native tissues has lately come into prominence for various applications of biomedicine. In this respect, three-dimensional bioprinting (3DP) of cells and other biologics through additive manufacturing techniques has brought the possibility to develop functional in vitro tissue models and perhaps creating de novo transplantable tissues or organs in time. Bioinks, which can be defined as the printable analogues of the extracellular matrix, represent the foremost component of 3DP. In this chapter, we attempt to elaborate the major classes of bioinks which are prevalently being evaluated for the 3DP of a wide range of tissue models.","10.1007/978-981-15-3258-0\_5",3314,"Web of Science","r"
"Vurat MT and Ergun C and Elin AE and Elin YM","3D Bioprinting of Tissue Models with Customized Bioinks.","Advances in experimental medicine and biology","The ordered assembly of multicellular structures mimicking native tissues has lately come into prominence for various applications of biomedicine. In this respect, three-dimensional bioprinting (3DP) of cells and other biologics through additive manufacturing techniques has brought the possibility to develop functional in vitro tissue models and perhaps creating de novo transplantable tissues or organs in time. Bioinks, which can be defined as the printable analogues of the extracellular matrix, represent the foremost component of 3DP. In this chapter, we attempt to elaborate the major classes of bioinks which are prevalently being evaluated for the 3DP of a wide range of tissue models.","10.1007/978-981-15-3258-0_5",3977,"PubMed","k"
"Poussin, C. and Kramer, B. and Lanz, H.L. and van den Heuvel, A. and Laurent, A. and Olivier, T. and Vermeer, M. and Peric, D. and Baumer, K. and Dulize, R. and Guedj, E. and Ivanov, N.V. and Peitsch, M.C. and Hoeng, J. and Joore, J.","3D human microvessel-on-a-chip model for studying monocyte-to-endothelium adhesion under flow - Application in systems toxicology","Altex","Lifestyle and genetic factors can lead to the development of atherosclerosis and, ultimately, cardiovascular adverse events. Rodent models are commonly used to investigate mechanism(s) of atherogenesis. However, the 3R principles, aiming to limit animal testing, encourage the scientific community to develop new, physiologically relevant alternatives. Leveraging the 96-chip OrganoPlate, a microfluidic platform, we have established a three-dimensional (3D) model of endothelial microvessels-on-a-chip under flow using primary human coronary arterial endothelial cells. As functional readout, we have set up an assay to measure the adhesion of monocytes to the lumen of perfused microvessels. For monitoring molecular changes in microvessels, we have established the staining and quantification of specific protein markers of inflammation and oxidative stress using high-content imaging as well as analyzed transcriptome changes using microarrays. To demonstrate its usefulness in systems toxicology, we used our 3D vasculature-on-a-chip model to assess the impact of the Tobacco Heating System (THS) 2.2, a candidate modified-risk tobacco product, and the 3R4F reference cigarette on the adhesion of monocytic cells to endothelial microvessels. Our results show that THS 2.2 aerosol-conditioned medium had a reduced effect on monocyte-endothelial adhesion compared with that of 3R4F smoke-conditioned medium. In conclusion, we have established a relevant 3D vasculature-on-a-chip model for investigating leukocyte-endothelial microvessel adhesion. A case study illustrates how the model can be used for product testing in the context of systems toxicology-based risk assessment. The current model and its potential further development options also open perspectives of applications in vascular disease research and drug discovery.  The Authors, 2019. funding_text 1={Philip Morris International is the sole source of funding and sponsor of this research. We thank Pauline Betsch and Dr Remko van Vught for project management support, Didier Goedertier and Claudius Pak for generating the aqueous smoke/aerosol extracts, Dr Alain Sewer for preparing and submitting transcriptomics data to the Array Express repository database, Dr Stphanie Bou for preparing and publishing the study data in INTERVALS (https://www.intervals.science/), and Frederik Schavemaker for support with schematic illustrations. We also thank Dr Dean Meyer from Edanz Medical Writing (https://www.edanzediting.com/ac) for editing a draft of this manuscript.","10.14573/altex.1811301s",3093,"Scopus","r"
"Poussin C and Kramer B and Lanz HL and Van den Heuvel A and Laurent A and Olivier T and Vermeer M and Peric D and Baumer K and Dulize R and Guedj E and Ivanov NV and Peitsch MC and Hoeng J and Joore J","3D human microvessel-on-a-chip model for studying monocyte-to-endothelium adhesion under flow - application in systems toxicology.","ALTEX","Lifestyle and genetic factors can lead to the development of atherosclerosis and, ultimately, cardiovascular adverse events. Rodent models are commonly used to investigate mechanism(s) of atherogenesis. However, the 3Rs principles, aiming to limit animal testing, encourage the scientific community to develop new physiologically relevant in vitro alternatives. Leveraging the 96-chip OrganoPlate, a microfluidic platform, we have established a three-dimensional (3D) model of endothelial microvessels-on-a-chip under flow using primary human coronary arterial endothelial cells. As functional readout, we have set up an assay to measure the adhesion of monocytes to the lumen of perfused microvessels. For monitoring molecular changes in microvessels, we have established the staining and quantification of specific protein markers of inflammation and oxidative stress using high content imaging, as well as analyzed transcriptome changes using microarrays. To demonstrate its usefulness in systems toxicology, we leveraged our 3D vasculature-on-a-chip model to assess the impact of the Tobacco Heating System (THS) 2.2, a candidate modified risk tobacco product, and the 3R4F reference cigarette on the adhesion of monocytic cells to endothelial microvessels. Our results show that THS 2.2 aerosol-conditioned medium had a reduced effect on monocyte-endothelium adhesion compared with 3R4F smoke-conditioned medium. In conclusion, we have established a relevant 3D vasculature-on-a-chip model for investigating leukocyte-endothelial microvessel adhesion. A case study illustrates how the model can be used for product testing in the context of systems toxicology-based risk assessment. The current model and its potential further development options also open perspectives of applications in vascular disease research and drug discovery.","10.14573/altex.1811301",698,"PubMed","k"
"Hosseinkhani H.","3D in vitro technology for drug discovery","Curr Drug Saf","Three-dimensional (3D) in vitro systems that can mimic organ and tissue structure and function in vivo, will be of great benefit for a variety of biological applications from basic biology to toxicity testing and drug discovery. There have been several attempts to generate 3D tissue models but most of these models require costly equipment, and the most serious disadvantage in them is that they are too far from the mature human organs in vivo. Because of these problems, research and development in drug discovery, toxicity testing and biotech industries are highly expensive, and involve sacrifice of countless animals and it takes several years to bring a single drug/product to the market or to find the toxicity or otherwise of chemical entities. Our group has been actively working on several alternative models by merging biomaterials science, nanotechnology and biological principles to generate 3D in vitro living organs, to be called ""Human Organs-on-Chip"", to mimic natural organ/tissues, in order to reduce animal testing and clinical trials. We have fabricated a novel type of mechanically and biologically bio-mimicking collagen-based hydrogel that would provide for interconnected mini-wells in which 3D cell/organ culture of human samples in a manner similar to human organs with extracellular matrix (ECM) molecules would be possible. These products mimic the physical, chemical, and biological properties of natural organs and tissues at different scales. This paper will review the outcome of our several experiments so far in this direction and the future perspectives.",NA,1368,"EMBASE","r"
"Hosseinkhani, H.","3D in vitro technology for drug discovery","Current Drug Safety","Three-dimensional (3D) in vitro systems that can mimic organ and tissue structure and function in vivo, will be of great benefit for a variety of biological applications from basic biology to toxicity testing and drug discovery. There have been several attempts to generate 3D tissue models but most of these models require costly equipment, and the most serious disadvantage in them is that they are too far from the mature human organs in vivo. Because of these problems, research and development in drug discovery, toxicity testing and biotech industries are highly expensive, and involve sacrifice of countless animals and it takes several years to bring a single drug/product to the market or to find the toxicity or otherwise of chemical entities. Our group has been actively working on several alternative models by merging biomaterials science, nanotechnology and biological principles to generate 3D in vitro living organs, to be called ""Human Organs-on-Chip"", to mimic natural organ/tissues, in order to reduce animal testing and clinical trials. We have fabricated a novel type of mechanically and biologically bio-mimicking collagen-based hydrogel that would provide for interconnected mini-wells in which 3D cell/organ culture of human samples in a manner similar to human organs with extracellular matrix (ECM) molecules would be possible. These products mimic the physical, chemical, and biological properties of natural organs and tissues at different scales. This paper will review the outcome of our several experiments so far in this direction and the future perspectives.  2012 Bentham Science Publishers.","10.2174/157488612800492753",2072,"Scopus","k"
"Yamamoto, Chika and Takemura, Akinori and Ishii, Sanae and Doi, Atsushi and Saito, Isao and Yamada, Hideki and Sakai, Yoko and Matsunaga, Tamihide and Ito, Kousei","A novel perfusion culture system for screening mitochondria) toxicity in primary mouse hepatocytes","JOURNAL OF TOXICOLOGICAL SCIENCES","The liver microphysiological system (MPS) model is an in-vitro culture method that mimics physiological blood flow, which enhances basal cellular functions. However, the liver MPS model has not been tested in the preclinical stage because of its obscure utility. It can overcome the major problem of conventional systems -rapid loss of mitochondrial activity in cultured hepatocytes due to limited oxygen supply by supplying oxygen to cultured hepatocytes using a perfusion device. In this study, we developed a new perfusion culture system that can detect mitochondrial toxicity. Primary mouse hepatocytes were cultured under perfusion condition for 48 hr. The hepatocytes showed increased oxygen consumption and reduced lactate release. These results indicated that the ATP-production pathway was switched from glycolysis to mitochondrial oxidative phosphorylation in the perfusion culture system. Furthermore, ATP levels were considerably reduced in the perfusion culture system after exposure to phenformin, a mitochondrial complex I inhibitor. To summarize, the perfusion culture system could improve the mitochondrial activity in primary mouse hepatocytes, and thus, has potential implications in the detection of mitochondrial toxicity.",NA,4054,"Web of Science","r"
"Yamamoto C. and Takemura A. and Ishii S. and Doi A. and Saito I. and Yamada H. and Sakai Y. and Matsunaga T. and Ito K.","A novel perfusion culture system for screening mitochondrial toxicity in primary mouse hepatocytes","J. Toxicol. Sci","- The liver microphysiological system (MPS) model is an in-vitro culture method that mimics physiological blood flow, which enhances basal cellular functions. However, the liver MPS model has not been tested in the preclinical stage because of its obscure utility. It can overcome the major prob-lem of conventional systems-rapid loss of mitochondrial activity in cultured hepatocytes due to limited oxygen supply-by supplying oxygen to cultured hepatocytes using a perfusion device. In this study, we developed a new perfusion culture system that can detect mitochondrial toxicity. Primary mouse hepat-ocytes were cultured under perfusion condition for 48 hr. The hepatocytes showed increased oxygen consumption and reduced lactate release. These results indicated that the ATP-production pathway was switched from glycolysis to mitochondrial oxidative phosphorylation in the perfusion culture system. Fur-thermore, ATP levels were considerably reduced in the perfusion culture system after exposure to phen-formin, a mitochondrial complex I inhibitor. To summarize, the perfusion culture system could improve the mitochondrial activity in primary mouse hepatocytes, and thus, has potential implications in the detec-tion of mitochondrial toxicity.","10.2131/jts.47.13",3400,"EMBASE","k"
