"author","title","journal","abstract","doi","ID","database","status"
"Pusiol T. and Morichetti D. and Zorzi M.G.","""Pure"" primary large cell neuroendocrine carcinoma of the urinary bladder: case report, literature review and diagnostic criteria","Pathologica","Large cell neuroendocrine carcinoma (LCNC) is defined in the urinary bladder, as in other sites, as a high-grade neoplasm exhibiting neuroendocrine features at the H&E level, high mitotic activity and evidence of neuroendocrine differentiation by immunohistochemistry. We report a case of pure bladder LCNC with review of the literature. A 68-year-old male presented with gross haematuria of two weeks' duration in October 2011. Transurethral resection and subsequently radical cystoprostatectomy (CP) with bilateral lymphadenectomy (L) were performed in December 2012. Urinary cytology identified malignant cells. Histologically, the tumour showed organoid nesting, trabecular growth, rosettes and perilobular palisading patterns, suggesting neuroendocrine differentiation. Immunohistochemical staining showed intense positivity for CD56. We examined all published pure bladder LCNC (12 cases) excluding mixed neoplasms. Small cell carcinoma of the urinary bladder pure LCNC of the bladder is a very aggressive malignancy, unresponsive to therapy, presents in an advanced stage and has a propensity for early metastasis. Prior to the advent of immunohistochemistry, such cases would most likely have been categorised as poorly differentiated, high-grade urothelial carcinomas.",NA,10250,"EMBASE","r"
"Pusiol T and Morichetti D and Zorzi MG","""Pure"" primary large cell neuroendocrine carcinoma of the urinary bladder: case report, literature review and diagnostic criteria.","Pathologica","INTRODUCTION: Large cell neuroendocrine carcinoma (LCNC) is defined in the urinary bladder, as in other sites, as a high-grade neoplasm exhibiting neuroendocrine features at the H&E level, high mitotic activity and evidence of neuroendocrine differentiation by immunohistochemistry. We report a case of pure bladder LCNC with review of the literature. METHODS: A 68-year-old male presented with gross haematuria of two weeks' duration in October 2011. Transurethral resection and subsequently radical cystoprostatectomy (CP) with bilateral lymphadenectomy (L) were performed in December 2012. RESULTS: Urinary cytology identified malignant cells. Histologically, the tumour showed organoid nesting, trabecular growth, rosettes and perilobular palisading patterns, suggesting neuroendocrine differentiation. Immunohistochemical staining showed intense positivity for CD56. DISCUSSION: We examined all published pure bladder LCNC (12 cases) excluding mixed neoplasms. Small cell carcinoma of the urinary bladder pure LCNC of the bladder is a very aggressive malignancy, unresponsive to therapy, presents in an advanced stage and has a propensity for early metastasis. Prior to the advent of immunohistochemistry, such cases would most likely have been categorised as poorly differentiated, high-grade urothelial carcinomas.",NA,22496,"PubMed","k"
"Pusiol, T. and Morichetti, D. and Zorzi, M.G.","""Pure"" primary large cell neuroendocrine carcinoma of the urinary bladder: case report, literature review and diagnostic criteria.","Pathologica","Large cell neuroendocrine carcinoma (LCNC) is defined in the urinary bladder, as in other sites, as a high-grade neoplasm exhibiting neuroendocrine features at the H&E level, high mitotic activity and evidence of neuroendocrine differentiation by immunohistochemistry. We report a case of pure bladder LCNC with review of the literature. A 68-year-old male presented with gross haematuria of two weeks' duration in October 2011. Transurethral resection and subsequently radical cystoprostatectomy (CP) with bilateral lymphadenectomy (L) were performed in December 2012. Urinary cytology identified malignant cells. Histologically, the tumour showed organoid nesting, trabecular growth, rosettes and perilobular palisading patterns, suggesting neuroendocrine differentiation. Immunohistochemical staining showed intense positivity for CD56. We examined all published pure bladder LCNC (12 cases) excluding mixed neoplasms. Small cell carcinoma of the urinary bladder pure LCNC of the bladder is a very aggressive malignancy, unresponsive to therapy, presents in an advanced stage and has a propensity for early metastasis. Prior to the advent of immunohistochemistry, such cases would most likely have been categorised as poorly differentiated, high-grade urothelial carcinomas.",NA,40767,"Scopus","r"
"Wang, Yichun and Jeon, Hyunsu","3D cell cultures toward quantitative high-throughput drug screening","TRENDS IN PHARMACOLOGICAL SCIENCES","3D cell cultures are being utilized for drug discovery and development. However, there are still challenges to implementing them generally in quantitative high throughput screening (HTS) due to the complexity of the 3D architecture, the time-and labor-consuming process, and the lack of compatibility with traditional screening protocols. Therefore, there is a great need for the integration of micro fabrication techniques, automation systems, and high-throughput analytical tools that reveal the pharmacological and toxicological effects of therapeutics using 3D cultures. We first review the current advances in 3D culture models and discuss their key challenges in HTS. Last, we review recent progress and breakthroughs in the automation and high-throughput imaging of 3D culture models, which can be integrated with machine-learning (ML) tools to aid quantitative HTS for drug discovery and development.","10.1016/j.tips.2022.03.014569",31561,"Web of Science","r"
"Wang Y and Jeon H","3D cell cultures toward quantitative high-throughput drug screening.","Trends in pharmacological sciences","3D cell cultures are being utilized for drug discovery and development. However, there are still challenges to implementing them generally in quantitative high-throughput screening (HTS) due to the complexity of the 3D architecture, the time- and labor-consuming process, and the lack of compatibility with traditional screening protocols. Therefore, there is a great need for the integration of microfabrication techniques, automation systems, and high-throughput analytical tools that reveal the pharmacological and toxicological effects of therapeutics using 3D cultures. We first review the current advances in 3D culture models and discuss their key challenges in HTS. Last, we review recent progress and breakthroughs in the automation and high-throughput imaging of 3D culture models, which can be integrated with machine-learning (ML) tools to aid quantitative HTS for drug discovery and development.","10.1016/j.tips.2022.03.014",22200,"PubMed","k"
"Boutin, M. E. and Hampton, C. and Quinn, R. and Ferrer, M. and Song, M. J.","3D Engineering of Ocular Tissues for Disease Modeling and Drug Testing",NA,"The success rate from investigational new drug filing to drug approval has remained low for decades despite major scientific and technological advances, and a steady increase of funding and investment. The failure to demonstrate drug efficacy has been the major reason that drug development does not progress beyond phase II and III clinical trials. The combination of two-dimensional (2D) cellular in vitro and animal models has been the gold standard for basic science research and preclinical drug development studies. However, most findings from these systems fail to translate into human trials because these models only partly recapitulate human physiology and pathology. The lack of a dynamic three-dimensional microenvironment in 2D cellular models reduces the physiological relevance, and for these reasons, 3D and microfluidic model systems are now being developed as more native-like biological assay platforms. 3D cellular in vitro systems, microfluidics, self-organized organoids, and 3D biofabrication are the most promising technologies to mimic human physiology because they provide mechanical cues and a 3D microenvironment to the multicellular components. With the advent of human-induced pluripotent stem cell (iPSC) technology, the 3D dynamic in vitro systems further enable extensive access to human-like tissue models. As increasingly complex 3D cellular systems are produced, the use of current visualization technologies is limited due to the thickness and opaqueness of 3D tissues. Tissue-clearing techniques improve light penetration deep into tissues by matching refractive indices among the 3D components. 3D segmentation enables quantitative measurements based on 3D tissue images. Using these state-of-the-art technologies, high-throughput screening (HTS) of thousands of drug compounds in 3D tissue models is slowly becoming a reality. In order to screen thousands of compounds, machine learning will need to be applied to help maximize outcomes from the use of cheminformatics and phenotypic approaches to drug screening. In this chapter, we discuss the current 3D ocular models recapitulating physiology and pathology of the back of the eye and further discuss visualization and quantification techniques that can be implemented for drug screening in ocular diseases.","10.1007/978-3-030-28471-8\_7",26941,"Web of Science","r"
"Boutin ME and Hampton C and Quinn R and Ferrer M and Song MJ","3D Engineering of Ocular Tissues for Disease Modeling and Drug Testing.","Advances in experimental medicine and biology","The success rate from investigational new drug filing to drug approval has remained low for decades despite major scientific and technological advances, and a steady increase of funding and investment. The failure to demonstrate drug efficacy has been the major reason that drug development does not progress beyond phase II and III clinical trials. The combination of two-dimensional (2D) cellular in vitro and animal models has been the gold standard for basic science research and preclinical drug development studies. However, most findings from these systems fail to translate into human trials because these models only partly recapitulate human physiology and pathology. The lack of a dynamic three-dimensional microenvironment in 2D cellular models reduces the physiological relevance, and for these reasons, 3D and microfluidic model systems are now being developed as more native-like biological assay platforms. 3D cellular in vitro systems, microfluidics, self-organized organoids, and 3D biofabrication are the most promising technologies to mimic human physiology because they provide mechanical cues and a 3D microenvironment to the multicellular components. With the advent of human-induced pluripotent stem cell (iPSC) technology, the 3D dynamic in vitro systems further enable extensive access to human-like tissue models. As increasingly complex 3D cellular systems are produced, the use of current visualization technologies is limited due to the thickness and opaqueness of 3D tissues. Tissue-clearing techniques improve light penetration deep into tissues by matching refractive indices among the 3D components. 3D segmentation enables quantitative measurements based on 3D tissue images. Using these state-of-the-art technologies, high-throughput screening (HTS) of thousands of drug compounds in 3D tissue models is slowly becoming a reality. In order to screen thousands of compounds, machine learning will need to be applied to help maximize outcomes from the use of cheminformatics and phenotypic approaches to drug screening. In this chapter, we discuss the current 3D ocular models recapitulating physiology and pathology of the back of the eye and further discuss visualization and quantification techniques that can be implemented for drug screening in ocular diseases.","10.1007/978-3-030-28471-8_7",14544,"PubMed","k"
"Figtree G.A. and Broadfoot K. and Casadei B. and Califf R. and Crea F. and Drummond G.R. and Freedman J.E. and Guzik T.J. and Harrison D. and Hausenloy D.J. and Hill J.A. and Januzzi J.L. and Kingwell B.A. and Lam C.S.P. and MacRae C.A. and Misselwitz F. and Miura T. and Ritchie R.H. and Tomaszewski M. and Wu J.C. and Xiao J. and Zannad F.","A Call to Action for New Global Approaches to Cardiovascular Disease Drug Solutions","Circulation","While we continue to wrestle with the immense challenge of implementing equitable access to established evidence-based treatments, substantial gaps remain in our pharmacotherapy armament for common forms of cardiovascular disease including coronary and peripheral arterial disease, heart failure, hypertension, and arrhythmia. We need to continue to invest in the development of new approaches for the discovery, rigorous assessment, and implementation of new therapies. Currently, the time and cost to progress from lead compound/product identification to the clinic, and the success rate in getting there reduces the incentive for industry to invest, despite the enormous burden of disease and potential size of market. There are tremendous opportunities with improved phenotyping of patients currently batched together in syndromic ""buckets."" Use of advanced imaging and molecular markers may allow stratification of patients in a manner more aligned to biological mechanisms that can, in turn, be targeted by specific approaches developed using high-throughput molecular technologies. Unbiased ""omic"" approaches enhance the possibility of discovering completely new mechanisms in such groups. Furthermore, advances in drug discovery platforms, and models to study efficacy and toxicity more relevant to the human disease, are valuable. Re-imagining the relationships among discovery, translation, evaluation, and implementation will help reverse the trend away from investment in the cardiovascular space, establishing innovative platforms and approaches across the full spectrum of therapeutic development.Copyright 2021 Lippincott Williams and Wilkins. All rights reserved.","10.1161/cir.0000000000000981",2012,"EMBASE","k"
"Figtree GA and Broadfoot K and Casadei B and Califf R and Crea F and Drummond GR and Freedman JE and Guzik TJ and Harrison D and Hausenloy DJ and Hill JA and Januzzi JL and Kingwell BA and Lam CSP and MacRae CA and Misselwitz F and Miura T and Ritchie RH and Tomaszewski M and Wu JC and Xiao J and Zannad F","A call to action for new global approaches to cardiovascular disease drug solutions.","European heart journal","Whilst we continue to wrestle with the immense challenge of implementing equitable access to established evidence-based treatments, substantial gaps remain in our pharmacotherapy armament for common forms of cardiovascular disease including coronary and peripheral arterial disease, heart failure, hypertension, and arrhythmia. We need to continue to invest in the development of new approaches for the discovery, rigorous assessment, and implementation of new therapies. Currently, the time and cost to progress from lead compound/product identification to the clinic, and the success rate in getting there reduces the incentive for industry to invest, despite the enormous burden of disease and potential size of market. There are tremendous opportunities with improved phenotyping of patients currently batched together in syndromic 'buckets'. Use of advanced imaging and molecular markers may allow stratification of patients in a manner more aligned to biological mechanisms that can, in turn, be targeted by specific approaches developed using high-throughput molecular technologies. Unbiased 'omic' approaches enhance the possibility of discovering completely new mechanisms in such groups. Furthermore, advances in drug discovery platforms, and models to study efficacy and toxicity more relevant to the human disease, are valuable. Re-imagining the relationships among discovery, translation, evaluation, and implementation will help reverse the trend away from investment in the cardiovascular space, establishing innovative platforms and approaches across the full spectrum of therapeutic development.","10.1093/eurheartj/ehab068",18878,"PubMed","r"
"Vairel B. and Woisard V. and De Bonnecaze G. and Uro-Coste E. and Vergez S.","A case of laryngeal sialolipoma: Pathology in focus","Rev. Laryngol. Otol. Rhinol","We are reporting a rare case of laryngeal sialolipoma in a 66-year-old male affected by Parkinson's disease. He was evaluated for dysarthria and swallowing disorders during which a swelling of the left ventricular fold, was always present and enlarged over a span of six months. Surgical removal of the left ventricular fold was performed. Microscopic examination, showed a circumscribed mass with organoid seromucous glands surrounded by numerous mature adipocytes, separated from the parenchyma and fatty tissue by dense fibrous tissue. This mass fulfilled the diagnostic criteria of sialolipoma. Sialolipomas can develop in a variety of sites in which there is both adipose and salivary gland tissue. To our knowledge, this is the first case of sialolipoma arising in the larynx.",NA,7962,"EMBASE","r"
