author,title,journal,abstract,doi,ID,database,status,new_ID
"Wang, Yichun and Jeon, Hyunsu",3D cell cultures toward quantitative high-throughput drug screening,TRENDS IN PHARMACOLOGICAL SCIENCES,"3D cell cultures are being utilized for drug discovery and development. However, there are still challenges to implementing them generally in quantitative high throughput screening (HTS) due to the complexity of the 3D architecture, the time-and labor-consuming process, and the lack of compatibility with traditional screening protocols. Therefore, there is a great need for the integration of micro fabrication techniques, automation systems, and high-throughput analytical tools that reveal the pharmacological and toxicological effects of therapeutics using 3D cultures. We first review the current advances in 3D culture models and discuss their key challenges in HTS. Last, we review recent progress and breakthroughs in the automation and high-throughput imaging of 3D culture models, which can be integrated with machine-learning (ML) tools to aid quantitative HTS for drug discovery and development.",10.1016/j.tips.2022.03.014569,51859,Web of Science,r,
Wang Y and Jeon H,3D cell cultures toward quantitative high-throughput drug screening.,Trends in pharmacological sciences,"3D cell cultures are being utilized for drug discovery and development. However, there are still challenges to implementing them generally in quantitative high-throughput screening (HTS) due to the complexity of the 3D architecture, the time- and labor-consuming process, and the lack of compatibility with traditional screening protocols. Therefore, there is a great need for the integration of microfabrication techniques, automation systems, and high-throughput analytical tools that reveal the pharmacological and toxicological effects of therapeutics using 3D cultures. We first review the current advances in 3D culture models and discuss their key challenges in HTS. Last, we review recent progress and breakthroughs in the automation and high-throughput imaging of 3D culture models, which can be integrated with machine-learning (ML) tools to aid quantitative HTS for drug discovery and development.",10.1016/j.tips.2022.03.014,7985,PubMed,k,
Navakanth Rao V. and Kuo-Chu L. and Chin-Huang L. and Joanne Jeou-Yuan C. and Tsann-Long S. and Te-Chang L.,A Novel Hybrid Bifunctional Alkylating Agent That Potently Suppresses the Growth of mCRC Cells Xenografts and Patient-Derived Organoids,Eur. J. Cancer,NA,10.1016/s0959-8049%2822%2901104-2,42085,EMBASE,r,
"Navakanth Rao, V. and Kuo-Chu, L. and Chin-Huang, L. and Joanne Jeou-Yuan, C. and Tsann-Long, S. and Te-Chang, L.",A Novel Hybrid Bifunctional Alkylating Agent That Potently Suppresses the Growth of mCRC Cells Xenografts and Patient-Derived Organoids,European Journal of Cancer,NA,10.1016/s0959-8049(22)01104-2,54406,Scopus,k,
"Yamada, S. and Masuno, H. and Kagechika, H. and Tanatani, A. and Kanda, Y.",A Novel Lithocholic Acid Derivative Upregulates Detoxification-Related Genes in Human Induced Pluripotent Stem Cell-Derived Intestinal Organoids,Biological and Pharmaceutical Bulletin,"Vitamin D is a fat-soluble micronutrient that plays essential roles in a range of biological processes, including cell proliferation, inflammation, and metabolism. In this study, we investigated the effects of a novel synthetic lithocholic acid derivative with vitamin D activity (Dcha-20) on pharmacokinetic gene expression in human induced pluripotent stem cell-derived intestinal organoids. Compared with vitamin D3 treatment, Dcha-20 was found to upregulate the expression and enzyme activity of the drug-metabolizing enzyme CYP3A4, an indicator of intestinal functional maturation. In addition, Dcha-20 specifically increased expression levels of the xenobiotic detoxification enzyme UGT1A and excretion transporter MRP2. These results suggest that Dcha-20 promotes activity of the intrinsic defense system of the intestinal epithelium.  2022 The Pharmaceutical Society of Japan.",10.1248/bpb.b22-00492,54351,Scopus,k,
"Yamada, Shigeru and Masuno, Hiroyuki and Kagechika, Hiroyuki and Tanatani, Aya and Kanda, Yasunari",A Novel Lithocholic Acid Derivative Upregulates Detoxification-Related Genes in Human Induced Pluripotent Stem Cell-Derived Intestinal Organoids,BIOLOGICAL \& PHARMACEUTICAL BULLETIN,"Vitamin D is a fat-soluble micronutrient that plays essential roles in a range of biological processes, including cell proliferation, inflammation, and metabolism. In this study, we investigated the effects of a novel synthetic lithocholic acid derivative with vitamin D activity (Dcha-20) on pharmacokinetic gene expres-sion in human induced pluripotent stem cell-derived intestinal organoids. Compared with vitamin D-3 treat-ment, Dcha-20 was found to upregulate the expression and enzyme activity of the drug-metabolizing enzyme CYP3A4, an indicator of intestinal functional maturation. In addition, Dcha-20 specifically increased expres-sion levels of the xenobiotic detoxification enzyme UGT1A and excretion transporter MRP2. These results suggest that Dcha-20 promotes activity of the intrinsic defense system of the intestinal epithelium.",NA,49942,Web of Science,r,
Vrij E.J. and Scholte op Reimer Y.S. and Fuentes L.R. and Guerreiro I.M. and Holzmann V. and Aldeguer J.F. and Sestini G. and Koo B.-K. and Kind J. and van Blitterswijk C.A. and Rivron N.C.,A pendulum of induction between the epiblast and extra-embryonic endoderm supports post-implantation progression,Development,"Embryogenesis is supported by dynamic loops of cellular interactions. Here, we create a partial mouse embryo model to elucidate the principles of epiblast (Epi) and extra-embryonic endoderm co-development (XEn). We trigger naive mouse embryonic stem cells to form a blastocyst-stage niche of Epi-like cells and XEn-like cells (3D, hydrogel free and serum free). Once established, these two lineages autonomously progress in minimal medium to form an inner pro-amniotic-like cavity surrounded by polarized Epi-like cells covered with visceral endoderm (VE)-like cells. The progression occurs through reciprocal inductions by which the Epi supports the primitive endoderm (PrE) to produce a basal lamina that subsequently regulates Epi polarization and/or cavitation, which, in return, channels the transcriptomic progression to VE. This VE then contributes to Epi bifurcation into anterior- and posterior-like states. Similarly, boosting the formation of PrE-like cells within blastoids supports developmental progression. We argue that self-organization can arise from lineage bifurcation followed by a pendulum of induction that propagates over time.Copyright 2022. Published by The Company of Biologists Ltd.",10.1242/dev.192310/2158548/dev192310,40656,EMBASE,r,
Vrij EJ and Scholte Op Reimer YS and Fuentes LR and Guerreiro IM and Holzmann V and Aldeguer JF and Sestini G and Koo BK and Kind J and van Blitterswijk CA and Rivron NC,A pendulum of induction between the epiblast and extra-embryonic endoderm supports post-implantation progression.,"Development (Cambridge, England)","Embryogenesis is supported by dynamic loops of cellular interactions. Here, we create a partial mouse embryo model to elucidate the principles of epiblast (Epi) and extra-embryonic endoderm co-development (XEn). We trigger naive mouse embryonic stem cells to form a blastocyst-stage niche of Epi-like cells and XEn-like cells (3D, hydrogel free and serum free). Once established, these two lineages autonomously progress in minimal medium to form an inner pro-amniotic-like cavity surrounded by polarized Epi-like cells covered with visceral endoderm (VE)-like cells. The progression occurs through reciprocal inductions by which the Epi supports the primitive endoderm (PrE) to produce a basal lamina that subsequently regulates Epi polarization and/or cavitation, which, in return, channels the transcriptomic progression to VE. This VE then contributes to Epi bifurcation into anterior- and posterior-like states. Similarly, boosting the formation of PrE-like cells within blastoids supports developmental progression. We argue that self-organization can arise from lineage bifurcation followed by a pendulum of induction that propagates over time.",10.1242/dev.192310,1204,PubMed,k,
"Colin-Pierre, Charlie and El Baraka, Oussama and Ramont, Laurent and Brezillon, Stephane",An Innovative 3D-Printed Insert Designed to Enable Straightforward 2D and 3D Cell Cultures,JOVE-JOURNAL OF VISUALIZED EXPERIMENTS,"The classical analyses of indirect communication between different cell types necessitate the use of conditioned media. Moreover, the production of conditioned media remains time-consuming and far from physiological and pathological conditions. Although a few models of co-culture are commercially available, they remain restricted to specific assays and are mostly for two types of cells. Here, 3D-printed inserts are used that are compatible with numerous functional assays. The insert allows the separation of one well of a 6-well plate into four compartments. A wide range of combinations can be set. Moreover, windows are designed in each wall of the compartments so that potential intercellular communication between every compartment is possible in the culture medium in a volume-dependent manner. For example, paracrine intercellular communication can be studied between four cell types in monolayer, in 3D (spheroids), or by combining both. In addition, a mix of different cell types can be seeded in the same compartment in 2D or 3D (organoids) format. The absence of a bottom in the 3D -printed inserts allows the usual culture conditions on the plate, possible coating on the plate containing the insert, and direct visualization by optical microscopy. The multiple compartments provide the possibility to collect different cell types independently or to use, in each compartment, different reagents for RNA or protein extraction. In this study, a detailed methodology is provided to use the new 3D-printed insert as a co -culture system. To demonstrate several capacities of this flexible and simple model, previously published functional assays of cell communication were performed in the new 3D-printed inserts and were demonstrated to be reproducible. The 3D-printed inserts and the conventional cell culture using conditioned media led to similar results.In conclusion, the 3D-printed insert is a simple device that can be adapted to numerous models of co-cultures with adherent cell types.",NA,51158,Web of Science,r,
Colin-Pierre C and El Baraka O and Ramont L and Brzillon S,An Innovative 3D-Printed Insert Designed to Enable Straightforward 2D and 3D Cell Cultures.,Journal of visualized experiments : JoVE,"The classical analyses of indirect communication between different cell types necessitate the use of conditioned media. Moreover, the production of conditioned media remains time-consuming and far from physiological and pathological conditions. Although a few models of co-culture are commercially available, they remain restricted to specific assays and are mostly for two types of cells. Here, 3D-printed inserts are used that are compatible with numerous functional assays. The insert allows the separation of one well of a 6-well plate into four compartments. A wide range of combinations can be set. Moreover, windows are designed in each wall of the compartments so that potential intercellular communication between every compartment is possible in the culture medium in a volume-dependent manner. For example, paracrine intercellular communication can be studied between four cell types in monolayer, in 3D (spheroids), or by combining both. In addition, a mix of different cell types can be seeded in the same compartment in 2D or 3D (organoids) format. The absence of a bottom in the 3D-printed inserts allows the usual culture conditions on the plate, possible coating on the plate containing the insert, and direct visualization by optical microscopy. The multiple compartments provide the possibility to collect different cell types independently or to use, in each compartment, different reagents for RNA or protein extraction. In this study, a detailed methodology is provided to use the new 3D-printed insert as a co-culture system. To demonstrate several capacities of this flexible and simple model, previously published functional assays of cell communication were performed in the new 3D-printed inserts and were demonstrated to be reproducible. The 3D-printed inserts and the conventional cell culture using conditioned media led to similar results. In conclusion, the 3D-printed insert is a simple device that can be adapted to numerous models of co-cultures with adherent cell types.",10.3791/64655,46642,PubMed,k,
