"ID","text_all","doi","TF_monkey","TF_ape","TF_dog","TF_cat","TF_cow","TF_pig","TF_horse","TF_sheep","TF_rabbit","TF_bird","TF_snake","TF_fish","TF_fly","TF_frog","checked"
1244,"High level of polarized engraftment of porcine intrahepatic cholangiocyte organoids in decellularized liver scaffolds.; bioengineering and cell polarity and livers and organoids and swine and tissue scaffolding; In Europe alone, each year 5500 people require a life-saving liver transplantation, but 18% die before receiving one due to the shortage of donor organs. Whole organ engineering, utilizing decellularized liver scaffolds repopulated with autologous cells, is an attractive alternative to increase the pool of available organs for transplantation. The development of this technology is hampered by a lack of a suitable large-animal model representative of the human physiology and a reliable and continuous cell source. We have generated porcine intrahepatic cholangiocyte organoids from adult stem cells and demonstrate that these cultures remained stable over multiple passages whilst retaining the ability to differentiate into hepatocyte- and cholangiocyte-like cells. Recellularization onto porcine scaffolds was efficient and the organoids homogeneously differentiated, even showing polarization. Our porcine intrahepatic cholangiocyte system, combined with porcine liver scaffold paves the way for developing whole liver engineering in a relevant large-animal model.","10.1111/jcmm.17510",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"yes"
1255,"MNK2 deficiency potentiates -cell regeneration via translational regulation.; NA; Regenerating pancreatic -cells is a potential curative approach for diabetes. We previously identified the small molecule CID661578 as a potent inducer of -cell regeneration, but its target and mechanism of action have remained unknown. We now screened 257 million yeast clones and determined that CID661578 targets MAP kinase-interacting serine/threonine kinase 2 (MNK2), an interaction we genetically validated in vivo. CID661578 increased -cell neogenesis from ductal cells in zebrafish, neonatal pig islet aggregates and human pancreatic ductal organoids. Mechanistically, we found that CID661578 boosts protein synthesis and regeneration by blocking MNK2 from binding eIF4G in the translation initiation complex at the mRNA cap. Unexpectedly, this blocking activity augmented eIF4E phosphorylation depending on MNK1 and bolstered the interaction between eIF4E and eIF4G, which is necessary for both hypertranslation and -cell regeneration. Taken together, our findings demonstrate a targetable role of MNK2-controlled translation in -cell regeneration, a role that warrants further investigation in diabetes.","10.1038/s41589-022-01047-x",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"yes"
1262,"Patch grafting of organoids of stem/progenitors into solid organs can correct genetic-based disease states.; Biliary tree and Cell therapies and Diabetes and Liver and Organoids and Pancreas and Patch grafting and Stem/progenitors and Tyrosinemia; Patch grafting, a novel strategy for transplantation of stem/progenitor organoids into porcine livers, has been found successful also for organoid transplantation into other normal or diseased solid organs in pigs and mice. Each organoid contained 100 cells comprised of biliary tree stem cells (BTSCs), co-hepato/pancreatic stem/progenitors, and partnered with early lineage stage mesenchymal cells (ELSMCs), angioblasts and precursors to endothelia and stellate cells. Patch grafting enabled transplantation into livers or pancreases of 10(8th) (pigs) or 10(6th-7th) (mice) organoids/patch. Graft conditions fostered expression of multiple matrix-metalloproteinases (MMPs), especially secretory isoforms, resulting in transient loss of the organ's matrix-dictated histological features, including organ capsules, and correlated with rapid integration within a week of organoids throughout the organs and without emboli or ectopic cell distribution. Secondarily, within another week, there was clearance of graft biomaterials, followed by muted expression of MMPs, restoration of matrix-dictated histology, and maturation of donor cells to functional adult fates. The ability of patch grafts of organoids to rescue hosts from genetic-based disease states was demonstrated with grafts of BTSC/ELSMC organoids on livers, able to rescue NRG/FAH-KO mice from type I tyrosinemia, a disease caused by absence of fumaryl acetoacetate hydrolase. With the same grafts, if on pancreas, they were able to rescue NRG/Akita mice from type I diabetes, caused by a mutation in the insulin 2 gene. The potential of patch grafting for cell therapies for solid organs now requires translational studies to enable its adaptation and uses for clinical programs.","10.1016/j.biomaterials.2022.121647",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"yes"
1272,"Establishment of a direct 2.5D organoid culture model using companion animal cancer tissues.; 2.5D and 3D and Cats and Culture model and Dogs and Organoids and Patient-derived and Primary; Like humans, cancer affects companion animals with similar genetic risks and incident rates. To improve treatment strategies for pet cancers, new research models are necessary. Patient-derived 3D organoid culture models are valuable and ensure the development of new effective therapies. In the previous study, we established a 3D organoid-derived 2.5D organoid culture model that recapitulated some characteristics of their parental 3D organoids. In the present study, we aimed to generate a 2.5D organoid culture model directly from cancer-diseased dogs and cats using special 2.5D media. The primary cultured cells in 2.5D media (direct 2.5D organoids) showed better attachment, growth, marker expression, and faster proliferation speed than those cultured in normal Dulbecco's Modified Eagle Medium media. The direct 2.5D organoids showed expression of each specific marker to their original cancer tissues and exhibited tumorigenesis in vivo. Moreover, the direct 2.5D organoids exhibited concentration-dependent responses to anti-cancer drugs, and different sensitivity profiles were shown among the strains. Our data suggest that the direct 2.5D organoid culture model might become a useful tool beyond 2D cell lines to study cancer biology in companion animals and could provide new platforms for screening the anti-cancer drugs.","10.1016/j.biopha.2022.113597",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"yes"
1275,"Differential Transcriptomic Profiles Following Stimulation with Lipopolysaccharide in Intestinal Organoids from Dogs with Inflammatory Bowel Disease and Intestinal Mast Cell Tumor.; IBD and LPS and canine and colonoids and enteroids and mast cell tumor and microarray; Lipopolysaccharide (LPS) is associated with chronic intestinal inflammation and promotes intestinal cancer progression in the gut. While the interplay between LPS and intestinal immune cells has been well-characterized, little is known about LPS and the intestinal epithelium interactions. In this study, we explored the differential effects of LPS on proliferation and the transcriptome in 3D enteroids/colonoids obtained from dogs with naturally occurring gastrointestinal (GI) diseases including inflammatory bowel disease (IBD) and intestinal mast cell tumor. The study objective was to analyze the LPS-induced modulation of signaling pathways involving the intestinal epithelia and contributing to colorectal cancer development in the context of an inflammatory (IBD) or a tumor microenvironment. While LPS incubation resulted in a pro-cancer gene expression pattern and stimulated proliferation of IBD enteroids and colonoids, downregulation of several cancer-associated genes such as Gpatch4, SLC7A1, ATP13A2, and TEX45 was also observed in tumor enteroids. Genes participating in porphyrin metabolism (CP), nucleocytoplasmic transport (EEF1A1), arachidonic acid, and glutathione metabolism (GPX1) exhibited a similar pattern of altered expression between IBD enteroids and IBD colonoids following LPS stimulation. In contrast, genes involved in anion transport, transcription and translation, apoptotic processes, and regulation of adaptive immune responses showed the opposite expression patterns between IBD enteroids and colonoids following LPS treatment. In brief, the crosstalk between LPS/TLR4 signal transduction pathway and several metabolic pathways such as primary bile acid biosynthesis and secretion, peroxisome, renin-angiotensin system, glutathione metabolism, and arachidonic acid pathways may be important in driving chronic intestinal inflammation and intestinal carcinogenesis.","10.3390/cancers14143525",0,0,1,0,0,0,0,0,0,0,0,0,0,0,"yes"
1288,"Recombinant Porcine R-Spondin 1 Facilitates Intestinal Stem Cell Expansion along the Crypt-Villus Axis through Potentiating Wnt/-Catenin Signaling in Homeostasis and Deoxynivalenol Injury.; Wnt/-catenin signaling and deoxynivalenol and injury-repair response and intestinal stem cell and recombinant porcine R-spondin 1; R-spondin 1 (RSPO1) is a ligand for the intestinal stem cell (ISC) marker Lgr5 in the crypt, which functions to amplify canonical Wnt signaling to stimulate the division of ISCs. Despite the crucial role of recombinant human RSPO1 (rhRSPO1) in homeostasis and regeneration, little is known about RSPO1 among different species. Here, we cloned the porcine RSPO1 (pRSPO1) gene and obtained rpRSPO1 protein through the expression system of the recombinant Escherichia coli Rosetta (DE3) chemical competent cells. Using the in vitro IPEC-J2 model that combines cell proliferation evaluation approaches, we identified the rpRSPO1 activity in stimulating jejunal epithelial cells. And upon deoxynivalenol challenge in mice, we found that rpRSPO1 ameliorated their growth retardation and jejunal epithelial integrity. Importantly, the ISCs in the jejunum had greater proliferation and differentiation potential that was accompanied by Wnt/-catenin pathway activation after rpRSPO1 modulation. Subsequently, the jejunal organoids expanded from these ISCs ex vivo presented robust growth advantages. And the rpRSPO1 was able to guide Wnt/-catenin activity to increase ISC activity. Our work systematically demonstrates that rpRSPO1 facilitates ISC expansion by potentiating Wnt/-catenin signaling during homeostasis and responding to deoxynivalenol perturbations.","10.1021/acs.jafc.2c02013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"yes"
1325,"Roles of WNT6 in Sheep Endometrial Epithelial Cell Cycle Progression and Uterine Glands Organogenesis.; Hu sheep and WNT6 and cell cycle and endometrial epithelial cell and organoid; The uterus, as part of the female reproductive tract, is essential for embryo survival and in the maintenance of multiple pregnancies in domestic animals. This study was conducted to investigate the effects of WNT6 on Hu sheep endometrial epithelial cells (EECs) and uterine glands (UGs) in Hu sheep, with high prolificacy rates. In the present study, Hu sheep with different fecundity, over three consecutive pregnancies, were divided into two groups: high prolificacy rate group (HP, litter size = 3) and low prolificacy rate group (LP, litter size = 1). A comparative analysis of the endometrial morphology was performed by immunofluorescence. RNA-seq was used to analyze the gene's expression in endometrium of HP and LP Hu sheep, providing a candidate gene, which was investigated in EECs and organoid culture. Firstly, higher density of UGs was found in the HP Hu sheep groups (p < 0.05). The RNA-seq data revealed the importance of the WNT signaling pathway and WNT6 gene in Hu sheep endometrium. Functionally, WNT6 could promote the cell cycle progression of EECs via WNT/-catenin signal and enhance UGs organogenesis. Taken together, WNT6 is a crucial regulator for sheep endometrial development; this finding may offer a new insight into understanding the regulatory mechanism of sheep prolificacy.","10.3390/vetsci8120316",0,0,0,0,0,0,0,1,0,0,0,0,0,0,"yes"
1338,"Long-Term Expanding Porcine Airway Organoids Provide Insights into the Pathogenesis and Innate Immunity of Porcine Respiratory Coronavirus Infection.; PRCoV and PRRs and TGEV and airway organoids and coronavirus and interferons; Respiratory coronaviruses cause serious health threats to humans and animals. Porcine respiratory coronavirus (PRCoV), a natural transmissible gastroenteritis virus (TGEV) mutant with partial spike deletion, causes mild respiratory disease and is an interesting animal respiratory coronavirus model for human respiratory coronaviruses. However, the absence of robust ex vivo models of porcine airway epithelium hinders an understanding of the pathogenesis of PRCoV infection. Here, we generated long-term porcine airway organoids (AOs) derived from basal epithelial cells, which recapitulate the in vivo airway complicated epithelial cellularity. Both 3D and 2D AOs are permissive for PRCoV infection. Unlike TGEV, which established successful infection in both AOs and intestinal organoids, PRCoV was strongly amplified only in AOs, not intestinal organoids. Furthermore, PRCoV infection in AOs mounted vigorous early type I and III interferon (IFN) responses and upregulated the expression of overzealous inflammatory genes, including pattern recognition receptors (PRRs) and proinflammatory cytokines. Collectively, these data demonstrate that stem-derived porcine AOs can serve as a promising disease model for PRCoV infection and provide a valuable tool to study porcine respiratory infection. IMPORTANCE Porcine respiratory CoV (PRCoV), a natural mutant of TGEV, shows striking pathogenetic similarities to human respiratory CoV infection and provides an interesting animal model for human respiratory CoVs, including SARS-CoV-2. The lack of an in vitro model recapitulating the complicated cellularity and structure of the porcine respiratory tract is a major roadblock for the study of PRCoV infection. Here, we developed long-term 3D airway organoids (AOs) and further established 2D AO monolayer cultures. The resultant 3D and 2D AOs are permissive for PRCoV infection. Notably, PRCoV mediated pronounced IFN and inflammatory responses in AOs, which recapitulated the inflammatory responses associated with PRCoV in vivo infection. Therefore, porcine AOs can be utilized to characterize the pathogenesis of PRCoV and, more broadly, can serve as a universal platform for porcine respiratory infection.","10.1128/jvi.00738-22",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"yes"
1339,"Using Species a Rotavirus Reverse Genetics to Engineer Chimeric Viruses Expressing SARS-CoV-2 Spike Epitopes.; NSP3 and VP4 and reverse genetics and rotavirus; Species A rotavirus (RVA) vaccines based on live attenuated viruses are used worldwide in humans. The recent establishment of a reverse genetics system for rotoviruses (RVs) has opened the possibility of engineering chimeric viruses expressing heterologous peptides from other viral or microbial species in order to develop polyvalent vaccines. We tested the feasibility of this concept by two approaches. First, we inserted short SARS-CoV-2 spike peptides into the hypervariable region of the simian RV SA11 strain viral protein (VP) 4. Second, we fused the receptor binding domain (RBD) of the SARS-CoV-2 spike protein, or the shorter receptor binding motif (RBM) nested within the RBD, to the C terminus of nonstructural protein (NSP) 3 of the bovine RV RF strain, with or without an intervening Thosea asigna virus 2A (T2A) peptide. Mutating the hypervariable region of SA11 VP4 impeded viral replication, and for these mutants, no cross-reactivity with spike antibodies was detected. To rescue NSP3 mutants, we established a plasmid-based reverse genetics system for the bovine RV RF strain. Except for the RBD mutant that demonstrated a rescue defect, all NSP3 mutants delivered endpoint infectivity titers and exhibited replication kinetics comparable to that of the wild-type virus. In ELISAs, cell lysates of an NSP3 mutant expressing the RBD peptide showed cross-reactivity with a SARS-CoV-2 RBD antibody. 3D bovine gut enteroids were susceptible to infection by all NSP3 mutants, but cross-reactivity with SARS-CoV-2 RBD antibody was only detected for the RBM mutant. The tolerance of large SARS-CoV-2 peptide insertions at the C terminus of NSP3 in the presence of T2A element highlights the potential of this approach for the development of vaccine vectors targeting multiple enteric pathogens simultaneously. IMPORTANCE We explored the use of rotaviruses (RVs) to express heterologous peptides, using SARS-CoV-2 as an example. Small SARS-CoV-2 peptide insertions (<34 amino acids) into the hypervariable region of the viral protein 4 (VP4) of RV SA11 strain resulted in reduced viral titer and replication, demonstrating a limited tolerance for peptide insertions at this site. To test the RV RF strain for its tolerance for peptide insertions, we constructed a reverse genetics system. NSP3 was C-terminally tagged with SARS-CoV-2 spike peptides of up to 193 amino acids in length. With a T2A-separated 193 amino acid tag on NSP3, there was no significant effect on the viral rescue efficiency, endpoint titer, and replication kinetics. Tagged NSP3 elicited cross-reactivity with SARS-CoV-2 spike antibodies in ELISA. We highlight the potential for development of RV vaccine vectors targeting multiple enteric pathogens simultaneously.","10.1128/jvi.00488-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"yes"
1357,"Transcriptome analysis revealed inhibition of lipid metabolism in 2-D porcine enteroids by infection with porcine epidemic diarrhea virus.; Lipid metabolism and Palmitic acid and Porcine enteroids and Porcine epidemic diarrhea virus and RNA-seq; Porcine epidemic diarrhea virus (PEDV) is a swine enterovirus that causes huge economic losses to the swine industry. It is of great interest to understand the gene expression patterns of host responses to PEDV infection and the mechanistic insights. Here, we report the differences of gene expression profiles by RNA-seq in the porcine small intestinal 2-D enteroids cells infected with low-passage (16 passages, P16) and high-passage (120 passages, P120) PEDV strains for 12, 24 and 36 h. Of the 57 genes differentially expressed in P16 PEDV infected enteroids, 49 were upregulated and 7 downregulated at all time points. There were 247 genes with different patterns of expression in the enteroids infected with P120 PEDV: upregulation seen with 105 genes and downregulation with the remaining majority at all time points. Infection of both P16 and P120 PEDV strains led to significant upregulation of ISGs, such as ISG15, MX1 and RSAD2. In particular, P120 PEDV infection inhibited transcription of genes related to lipid metabolism, including those involved in lipid decomposition, absorption, bile secretion and cholesterol metabolism. Treatment of the infected enteroids with palmitic acid resulted in marked reduction of replication of both P16 and P120 PEDV strains. These results indicate that PEDV might manipulate lipid metabolism of the host to benefit its replication. Further research is warranted to study the mechanisms how palmitic acid inhibits PEDV replication.","10.1016/j.vetmic.2022.109525",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"yes"
