name,total,leaf_ID,angle,hjust,vjust,major_organ2,lvl1,lvl1_leaf,lvl2,lvl2_leaf,n,major_organ3
 ,7901,NA,0,0.5,1.2,NA,,, ,,1,other
abomasum,0,25,76.92307692,1.1,0,gastrointestinal,,,,abomasum,19,not modelled
adipose,13,NA,0,0.5,1.2,adipose,adipose,,,,3,other
adrenal,2,13,40,1.1,0,endocrine,,,,adrenal,6,endocrine
airway,69,NA,0,0.5,1.2,respiratory,,,airway,,16,respiratory
alveolus,63,106,326.1538462,1.1,0,respiratory,,,,alveolus,16,respiratory
anterior cruciate ligament,0,45,318.4615385,-0.1,0,musculoskeletal,,,,anterior cruciate ligament,12,not modelled
anulus fibrosus,0,44,315.3846154,-0.1,0,musculoskeletal,,,,anulus fibrosus,12,not modelled
aorta,0,6,18.46153846,1.1,0,cardiovascular,,,,aorta,11,not modelled
appendix,0,20,61.53846154,1.1,0,gastrointestinal,,,,appendix,19,not modelled
artery,1,NA,0,0.5,1.2,cardiovascular,,,artery,,11,cardiovascular
artificial joint,0,46,321.5384615,-0.1,0,musculoskeletal,,,,artificial joint,12,not modelled
autonomic ganglion,0,66,383.0769231,-0.1,0,neural,,,,autonomic ganglion,36,not modelled
barriers,13,NA,0,0.5,1.2,neural,,,barriers,,36,neural
basal ganglion,3,NA,0,0.5,1.2,neural,,,basal ganglion,,36,neural
bile duct,43,NA,0,0.5,1.8,"hepatic, pancreatic, biliary",,,bile duct,,12,"hepatic, pancreatic, biliary"
biliary,69,NA,0,0.5,1.8,"hepatic, pancreatic, biliary",,,biliary,,12,"hepatic, pancreatic, biliary"
bladder,12,112,344.6153846,1.1,0,urinary,,,,bladder,10,urinary
blood,16,5,15.38461538,1.1,0,cardiovascular,,,,blood,11,cardiovascular
blood vessel,15,NA,0,0.5,1.2,cardiovascular,,,blood vessel,,11,cardiovascular
blood-air barrier,0,107,329.2307692,1.1,0,respiratory,,,,blood-air barrier,16,not modelled
blood-brain barrier,9,53,343.0769231,-0.1,0,neural,,,,blood-brain barrier,36,neural
blood-retinal barrier,0,79,423.0769231,-0.1,0,ocular,,,,blood-retinal barrier,11,not modelled
bone,28,49,330.7692308,-0.1,0,musculoskeletal,,,,bone,12,musculoskeletal
bone marrow,7,36,290.7692308,-0.1,0,lymphatic,,,,bone marrow,12,lymphatic
brain,882,NA,0,0.5,1.2,neural,,,brain,,36,neural
brainstem,52,NA,0,0.7,1.2,neural,,,brainstem,,36,neural
breast duct,1,42,309.2307692,-0.1,0,mammary,,,,breast duct,3,other
bronchiole,1,108,332.3076923,1.1,0,respiratory,,,,bronchiole,16,respiratory
bronchus,8,109,335.3846154,1.1,0,respiratory,,,,bronchus,16,respiratory
caecum,3,19,58.46153846,1.1,0,gastrointestinal,,,,caecum,19,gastrointestinal
cardiovascular,147,NA,0,0.5,1.2,cardiovascular,cardiovascular,,,,11,cardiovascular
cartilage,23,50,333.8461538,-0.1,0,musculoskeletal,,,,cartilage,12,musculoskeletal
cerebellum,10,56,352.3076923,-0.1,0,neural,,,,cerebellum,36,neural
cerebrum,439,NA,0,0.5,1.2,neural,,,cerebrum,,36,neural
cervix,4,92,283.0769231,1.1,0,reproductive,,,,cervix,14,reproductive
choroid,0,72,401.5384615,-0.1,0,ocular,,,,choroid,11,not modelled
choroid plexus,4,54,346.1538462,-0.1,0,neural,,,,choroid plexus,36,neural
circumvallate papilla,1,83,435.3846154,-0.1,0,oral,,,,circumvallate papilla,14,oral
cochlea,16,90,276.9230769,1.1,0,otic,,,,cochlea,3,other
collecting duct,5,114,350.7692308,1.1,0,urinary,,,,collecting duct,10,urinary
colon,329,NA,0,0.5,1.2,gastrointestinal,,,colon,,19,gastrointestinal
cornea,6,NA,0,0.5,1.2,ocular,,,cornea,,11,ocular
corneal barrier,0,73,404.6153846,-0.1,0,ocular,,,,corneal barrier,11,not modelled
corneal limbus,1,74,407.6923077,-0.1,0,ocular,,,,corneal limbus,11,ocular
cortex,75,NA,0,0.5,1.2,neural,,,cortex,,36,neural
corticostriatal network,0,59,361.5384615,-0.1,0,neural,,,,corticostriatal network,36,not modelled
decidua,2,95,292.3076923,1.1,0,reproductive,,,,decidua,14,reproductive
dental follicle,1,85,441.5384615,-0.1,0,oral,,,,dental follicle,14,oral
dental papilla,3,86,444.6153846,-0.1,0,oral,,,,dental papilla,14,oral
dental pulp,3,87,447.6923077,-0.1,0,oral,,,,dental pulp,14,oral
dermal,83,NA,0,0.5,1.2,dermal,dermal,,,,6,dermal
dermal papilla,3,10,30.76923077,1.1,0,dermal,,,,dermal papilla,6,dermal
diencephalon,16,NA,0,0.5,1.2,neural,,,diencephalon,,36,neural
distal tubule,0,115,353.8461538,1.1,0,urinary,,,,distal tubule,10,not modelled
dorsal root ganglion,3,67,386.1538462,-0.1,0,neural,,,,dorsal root ganglion,36,neural
duodenum,19,22,67.69230769,1.1,0,gastrointestinal,,,,duodenum,19,gastrointestinal
enamel organ,0,88,270.7692308,1.1,0,oral,,,,enamel organ,14,not modelled
endocrine,26,NA,0,0.5,1.2,endocrine,endocrine,,,,6,endocrine
endometrial gland,2,96,295.3846154,1.1,0,reproductive,,,,endometrial gland,14,reproductive
endometrium,68,NA,0,0.5,1.2,reproductive,,,endometrium,,14,reproductive
enteric nervous system,0,64,376.9230769,-0.1,0,neural,,,,enteric nervous system,36,not modelled
epidermis,16,9,27.69230769,1.1,0,dermal,,,,epidermis,6,dermal
epididymis,4,98,301.5384615,1.1,0,reproductive,,,,epididymis,14,reproductive
esophagus,33,17,52.30769231,1.1,0,gastrointestinal,,,,esophagus,19,gastrointestinal
extrahepatic bile duct,2,29,89.23076923,1.1,0,"hepatic, pancreatic, biliary",,,,extrahepatic bile duct,12,"hepatic, pancreatic, biliary"
female reproductive,116,NA,0,0.5,1.2,reproductive,,,female reproductive,,14,reproductive
forebrain,495,NA,0,0.5,1.2,neural,,,forebrain,,36,neural
gallbladder,7,31,275.3846154,-0.1,0,"hepatic, pancreatic, biliary",,,,gallbladder,12,"hepatic, pancreatic, biliary"
ganglion,3,NA,0,0.5,1.2,neural,,,ganglion,,36,neural
gastric antrum,4,26,80,1.1,0,gastrointestinal,,,,gastric antrum,19,gastrointestinal
gastric corpus,10,NA,0,0.7,1.2,gastrointestinal,,,gastric corpus,,19,gastrointestinal
gastric fundus,3,28,86.15384615,1.1,0,gastrointestinal,,,,gastric fundus,19,gastrointestinal
