ID,pre_word,include
13,intestinal,c
30,bud,c
47,ductal,c
83,pulp,c
122,tract,c
154,gland,c
310,glandular,c
322,duct,c
323,cord,c
349,plexus,c
356,intestine,c
416,tubular,c
438,tube,c
541,ganglion,c
704,vessel,c
763,barrier,c
995,unit,c
1008,ganglia,c
1069,papillae,c
1087,node,c
1174,glands,c
1246,cup,c
1264,joint,c
1359,marrow,c
1682,ductular,c
1699,junction,c
1703,tubule,c
1751,network,c
1757,vessels,c
1781,vasculature,c
1829,niche,c
1872,intestines,c
1877,niches,c
1878,networks,c
1903,tubules,c
1933,nodes,c
1985,barriers,c
1990,vasculatures,c
2020,circuitry,c
1,and,n
2,developing,n
4,such,n
6,these,n
7,in,n
8,of,n
9,stage,n
11,induced,n
15,different,n
16,established,n
20,3d,n
23,establish,n
25,two,n
26,establishing,n
28,resistant,n
29,vitro,n
34,the,n
37,reporter,n
41,designing,n
43,human,n
45,that,n
50,smaller,n
51,ko,n
52,deficient,n
56,for,n
57,each,n
62,murine,n
63,5d,n
64,sheet,n
65,digital,n
66,single,n
67,entire,n
69,extensive,n
71,to,n
72,with,n
73,s,n
75,why,n
79,immune,n
80,synthetic,n
84,mature,n
85,improve,n
88,obtain,n
89,enhanced,n
90,from,n
91,sized,n
95,using,n
98,analyse,n
100,live,n
101,one,n
104,dysplastic,n
108,formed,n
111,this,n
114,improving,n
115,resulting,n
116,compare,n
123,although,n
124,developed,n
126,adult,n
127,increased,n
128,on,n
130,activated,n
131,out,n
132,multifocal,n
136,dimensional,n
137,intact,n
138,mutant,n
139,control,n
140,individual,n
141,an,n
142,build,n
143,create,n
145,expandable,n
149,support,n
153,as,n
155,or,n
158,density,n
161,300,n
162,whole,n
164,transplanted,n
167,how,n
168,matched,n
169,five,n
170,their,n
172,all,n
173,any,n
174,other,n
175,regarding,n
177,defined,n
178,high,n
179,intraculture,n
180,is,n
181,during,n
183,improved,n
184,mouse,n
185,chicken,n
186,suppressed,n
187,term,n
191,chimpanzee,n
192,generate,n
193,overall,n
