ID,author,text_all,title_key_lower,KA_key_lower,organ_type,checked,major_organ
38,"Lazarus, Kyren A. and Hadi, Fazal and Zambon, Elisabetta and Bach, Karsten and Santolla, Maria-Francesca and Watson, Julie K. and Correia, Lucia L. and Das, Madhumita and Ugur, Rosemary and Pensa, Sara and Becker, Lukas and Campos, Lia S. and Ladds, Graham and Liu, Pentao and Evan, Gerard and McCaughan, Frank and Le Quesne, John and Lee, Joo-Hyeon and Calado, Dinis and Khaled, Walid T.","BCL11A interacts with SOX2 to control the expression of epigenetic regulators in lung squamous cell carcinoma; NA; Patients diagnosed with lung squamous cell carcinoma (LUSC) have limited targeted therapeutic options. We report here the identification and characterisation of the transcriptional regulator, BCL11A, as a LUSC oncogene. Analysis of cancer genomics datasets revealed BCL11A to be upregulated in LUSC but not lung adenocarcinoma (LUAD). We demonstrated that knockdown of BCL11A in LUSC cell lines abolished xenograft tumour growth and its overexpression in vivo led to lung airway hyperplasia and the development of reserve cell hyperplastic lesions. In addition, deletion of Bcl11a in the tracheal basal cells abolished the development of tracheosphere organoids while its overexpression led to solid tracheospheres with a squamous phenotype. At the molecular level we found BCL11A to be a target of SOX2 and we show that it is required for the oncogenic role of SOX2 in LUSC. Furthermore, we showed that BCL11A and SOX2 interact at the protein level and that together they co-regulated the expression of several transcription factors. We demonstrate that pharmacological inhibition of SETD8, a gene co-regulated by BCL11A and SOX2, alone or in combination with cisplatin treatment, shows significant selectivity to LUSC in comparison to LUAD cells. Collectively, these results indicate that the disruption of the BCL11A-SOX2 transcriptional program provides a future framework for the development of targeted therapeutic intervention for LUSC patients.",NA,"na;  in addition, deletion of bcl11a in the tracheal basal cells abolished the development of tracheosphere organoid while its overexpression led to solid tracheospheres with a squamous phenotype.; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ",tracheosphere,OK,
176,"Kumar, Naveen and Gurumurthy, Rajendra Kumar and Prakash, Pon Ganish and Kurian, Shilpa Mary and Wentland, Christian and Brinkmann, Volker and Mollenkopf, Hans-Joachim and Krammer, Tobias and Toussaint, Christophe and Saliba, Antoine-Emmanuel and Biebl, Matthias and Juergensen, Christian and Wiedenmann, Bertram and Meyer, Thomas F and Chumduri, Cindrilla","Spatial organisation and homeostasis of epithelial lineages at the gastroesophageal junction is regulated by the divergent Wnt mucosal microenvironment; NA; The gastroesophageal junction (GEJ), where squamous and columnar epithelia meet, is a hotspot for Barrett{\textquoteright}s metaplasia development, dysbiosis and carcinogenesis. However, the mechanisms regulating GEJ homeostasis remain unclear. Here, by employing organoids, bulk and single-cell transcriptomics, single-molecule RNA in situ hybridisations and lineage tracing, we identified the spatial organisation of the epithelial, stromal compartment and the regulators that maintain the normal GEJ homeostasis. During development, common KRT8 progenitors generate committed unilineage p63/KRT5-squamous and KRT8-columnar stem cells responsible for the regeneration of postnatal esophagus and gastric epithelium that meet at GEJ. A unique spatial distribution of Wnt regulators in the underlying stromal compartment of these stem cells creates diverging Wnt microenvironments at GEJ and supports their differential regeneration. Further, we show that these tissue-resident stem cells do not possess the plasticity to transdifferentiate to the other lineage with the altered Wnt signals. Our study provides invaluable insights into the fundamental process of GEJ homeostasis and is crucial for understanding disease development.",NA,"na;  here, by employing organoid, bulk and single-cell transcriptomics, single-molecule rna in situ hybridisations and lineage tracing, we identified the spatial organisation of the epithelial, stromal compartment and the regulators that maintain the normal gej homeostasis.; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ",gastroesophageal junction,OK,
325,"Bornstein, Stefan and Shapiro, Igor and Malyukov, Maria and Z{\""u}llig, Richard and Luca, Edlira and Gelfgat, Evgeny and Beuschlein, Felix and N{\""o}lting, Svenja and Berruti, Alfredo and Sigala, Sandra and Peitzsch, Mirko and Steenblock, Charlotte and Ludwig, Barbara and Kugelmeier, Patrick and Hantel, Constanze","Innovative multidimensional models in a high-throughput-format for different cell types of endocrine origin; NA; The adrenal gland provides an important function by integrating neuronal, immune, vascular, metabolic and endocrine signals under a common organ capsule. It is the central organ of the stress response system and has been implicated in numerous stress-related disorders. While for other diseases, regeneration of healthy organ tissue has been aimed at such approaches are lacking for endocrine diseases - with the exception of type-I-diabetes. Moreover, tumor formation is very common, however, appropriate high-throughput applications reflecting the high heterogeneity and furthermore relevant 3D-structures in vitro are still widely lacking. Recently, we have initiated the development of standardized multidimensional models of a variety of endocrine cell/tissue sources in a new multiwell-format. Firstly, we confirmed common applicability for pancreatic pseudo-islets. Next, we translated applicability for spheroid establishment to adrenocortical cell lines as well as patient material to establish spheroids from malignant, but also benign adrenal tumors. We aimed furthermore at the development of bovine derived adrenal organoids and were able to establish steroidogenic active organoids containing both, cells of cortical and medullary origin. Overall, we hope to open new avenues for basic research, endocrine cancer and adrenal tissue-replacement-therapies as we demonstrate potential for innovative mechanistic insights and personalized medicine in endocrine (tumor)-biology.",NA,"na;  we aimed furthermore at the development of bovine derived adrenal organoid and were able to establish steroidogenic active organoid containing both, cells of cortical and medullary origin.; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ",adrenal,OK,
404,"Owen, Liusaidh J. and Rainger, Jacqueline and Bengani, Hemant and Kilanowski, Fiona and FitzPatrick, David R. and Papanastasiou, Andrew S.","Characterization of an Eye Field-like State during Optic Vesicle Organoid Development; NA; Specification of the eye field (EF) within the neural plate marks the earliest detectable stage of eye development. Experimental evidence, primarily from non-mammalian model systems, indicates that the stable formation of this group of cells requires the activation of a set of key transcription factors (TFs). This critical event is challenging to probe in mammals and, quantitatively, little is known regarding the regulation of the transition of cells to this ocular fate. Using optic vesicle organoids to model the onset of the EF, we generate timecourse transcriptomic data allowing us to identify dynamic gene-expression programs that characterise this cellular-state transition. Integrating this with chromatin accessibility data suggests a direct role of canonical EFTFs in regulating these gene-expression changes, and high-lights candidate cis-regulatory elements through which these TFs act. Finally, we begin to test a subset of these candidate enhancer elements, within the organoid system, by perturbing the underlying DNA sequence and measuring transcriptomic changes during EF activation.",characterization of an eye field-like state during opticvesicle organoid development,"na;  using opticvesicle organoid to model the onset of the ef, we generate timecourse transcriptomic data allowing us to identify dynamic gene-expression programs that characterise this cellular-state transition.;  finally, we begin to test a subset of these candidate enhancer elements, within the organoid system, by perturbing the underlying dna sequence and measuring transcriptomic changes during ef activation.; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ",optic vesicle,OK,
420,"Zhao, Hua and Cheng, Yulan and Kalra, Andrew and Ma, Ke and Zheng, Yueyuan and Ziman, Benjamin and Tressler, Caitlin and Glunde, Kristine and Shin, Eun Ji and Ngamruengphong, Saowanee and Khashab, Mouen and Singh, Vikesh and Anders, Robert A. and Jit, Simran and Wyhs, Nicolas and Chen, Wei and Li, Xu and Lin, De-Chen and Meltzer, Stephen J.","Novel tumorigenic FOXM1-PTAFR-PTAF axis revealed by multi-omic profiling in TP53/CDKN2A-double knockout human gastroesophageal junction organoid model; NA; Inactivation of the tumor suppressor genes TP53 and CDKN2A occurs early during gastroesophageal junction (GEJ) tumorigenesis. However, due to a paucity of GEJ-specific disease models, cancer-promoting consequences of TP53 and CDKN2A inactivation at the GEJ have been incompletely characterized. Here we report the development of the first wild-type primary human GEJ organoid model, as well as a CRISPR-edited transformed GEJ organoid model. CRISPR/Cas9 engineering to inactivate TP53 and CDKN2A (TP53/CDKN2AKO) in GEJ organoids induced morphologic dysplasia as well as pro-neoplastic features in vitro and tumor formation in vivo. Notably, lipidomic profiling identified several Platelet-Activating Factors (PTAFs) among the most upregulated lipids in CRISPR-edited organoids; and importantly, PTAF/PTAFR abrogation by siRNA knockdown or a pharmacologic inhibitor (WEB2086) significantly blocked proliferation and other pro-neoplastic features of TP53/CDKN2AKO GEJ organoids in vitro and tumor formation in vivo. In addition, murine xenografts derived from Eso26, an established esophageal adenocarcinoma (EAC) cell line, were suppressed by WEB2086. Mechanistically, TP53/CDKN2A dual inactivation disrupted both the transcriptome and the DNA methylome, likely mediated by key transcription factors, particularly Forkhead Box M1 (FOXM1). Importantly, FOXM1 activated PTAFR transcription by binding to the PTAFR promoter, further amplifying the PTAF-PTAFR pathway. In summary, we established a robust model system for investigating early GEJ neoplastic events, identified crucial metabolic and epigenomic changes occurring during GEJ model tumorigenesis, and discovered a potential cancer-therapeutic strategy, while providing insights into pro-neoplastic mechanisms associated with TP53/CDKN2A inactivation in early GEJ neoplasia.One Sentence Summary Novel tumorigenic FOXM1-PTAFR-PTAF axis revealed by multi-omic profiling in TP53/CDKN2A-double knockout human gastroesophageal junction organoid model.",novel tumorigenic foxm1-ptafr-ptaf axis revealed by multi-omic profiling in tp53/cdkn2a-double knockout human gastroesophageal junction organoid model,"na;  here we report the development of the first wild-type primary human gej organoid model, as well as a crispr-edited transformed gej organoid model.;  crispr/cas9 engineering to inactivate tp53 and cdkn2a (tp53/cdkn2ako) in gej organoid induced morphologic dysplasia as well as pro-neoplastic features in vitro and tumor formation in vivo.;  notably, lipidomic profiling identified several platelet-activating factors (ptafs) among the most upregulated lipids in crispr-edited organoid; and importantly, ptaf/ptafr abrogation by sirna knockdown or a pharmacologic inhibitor (web2086) significantly blocked proliferation and other pro-neoplastic features of tp53/cdkn2ako gej organoid in vitro and tumor formation in vivo.; one sentence summary novel tumorigenic foxm1-ptafr-ptaf axis revealed by multi-omic profiling in tp53/cdkn2a-double knockout human gastroesophageal junction organoid model.; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ",gastroesophageal junction,OK,
439,"Alghadeer, A and Hanson-Drury, S and Ehnes, D and Zhao, YT and Patni, AP and O{\textquoteright}Day, D and Spurrell, CH and Gogate, AA and Phal, A and Zhang, H and Devi, A and Wang, Y and Starita, L and Doherty, D and Glass, I and Shendure, J and Baker, D and Regier, MC and Mathieu, J and Ruohola-Baker, H","Human iPSC Derived Enamel Organoid Guided by Single-Cell Atlas of Human Tooth Development; NA; Tooth enamel secreted by ameloblasts is the hardest material in the human body, acting as a shield protecting the teeth. However, the enamel is gradually damaged or partially lost in over 90\% of adults and cannot be regenerated due to a lack of ameloblasts in erupted teeth. Here we use sci-RNA-seq to establish a spatiotemporal single-cell atlas for the developing human tooth and identify regulatory mechanisms controlling the differentiation process of human ameloblasts. We reveal key signaling pathways involved between the support cells and ameloblasts during fetal development and recapitulate those findings in a novel human ameloblast in vitro differentiation from iPSCs. We furthermore develop a mineralizing enamel organ-like 3D organoid system. These studies pave the way for future regenerative dentistry and therapies toward genetic diseases affecting enamel formation.",human ipsc derived enamel organoid guided by single-cell atlas of human tooth development,na;  we furthermore develop a mineralizing enamel organ-like 3d organoid system.; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ,enamel organ,OK,
448,"Noltes, Milou E. and Sondorp, Luc H.J. and Kracht, Laura and Antunes, In{\^e}s F. and Wardenaar, Ren{\'e} and Kelder, Wendy and Kemper, Annelies and Szymanski, Wiktor and Zandee, Wouter T. and Jansen, Liesbeth and Brouwers, Adrienne H. and Coppes, Robert P. and Kruijff, Schelto","Patient-derived parathyroid organoids as tracer and drug-screening application model; NA; Parathyroid diseases are characterized by dysregulation of calcium homeostasis and alterations in parathyroid hormone (PTH) excretion. The understanding of parathyroid hyperplastic growth and the development of parathyroid-targeted treatment and imaging tracers could benefit from in vitro models. Therefore, we aim to establish stem cell-derived, three-dimensional organoids representing human parathyroid tissue in vitro. Patient-derived hyperplastic parathyroid tissue was dispersed and parathyroid organoids (PTO) were cultured and characterized. PTO-derived cells were shown to exhibit in vitro self-renewal over several passages, indicative of the presence of putative stem cells. Immunofluorescence and RNA-sequencing confirm that PTO phenocopy hyperplastic parathyroid tissue. Exposure of PTO to increasing calcium concentrations and to PTH-lowering drugs resulted in a significantly reduced PTH excretion. Next to this, the PTO showed specific binding of 11C-methionine to the targeted receptor. Additionally, when organoids were incubated with 99mTc-sestamibi, we observed a higher uptake in PTOs from patients with a 99mTc-sestamibi positive scan compared to patients with a negative scan. These data show functionality of PTOs resembling the parathyroid. In conclusion, we present a patient-derived PTO culture, that recapitulates the originating tissue on gene and protein expression and functionality. This PTO model paves the way for future physiology studies and therapeutic target and tracer discovery.",patient-derived parathyroid organoid as tracer and drug-screening application model,"na;  therefore, we aim to establish stem cell-derived, three-dimensional organoid representing human parathyroid tissue in vitro.;  patient-derived hyperplastic parathyroid tissue was dispersed and parathyroid organoid (pto) were cultured and characterized.;  additionally, when organoid were incubated with 99mtc-sestamibi, we observed a higher uptake in ptos from patients with a 99mtc-sestamibi positive scan compared to patients with a negative scan.; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ",parathyroid,OK,
530,"Alsafadi, Hani N. and Stegmayr, John and Ptasinski, Victoria and Silva, Iran and Mittendorfer, Margareta and Murray, Lynne and Wagner, Darcy E.","Simultaneous isolation of proximal and distal lung progenitor cells from individual mice using a 3D printed guide reduces proximal cell contamination of distal lung epithelial cell isolations; NA; The respiratory epithelium consists of multiple, functionally distinct cell-types and is maintained by regionally-specific progenitor populations which repair the epithelium following injury. Several in vitro methods exist for studying lung epithelial repair using primary murine lung epithelial cells, but isolation methods are hampered by a lack of surface markers distinguishing epithelial progenitors along the respiratory epithelium. Here, we developed a 3D-printed lobe divider (3DLD) to aid in simultaneous isolation of proximal versus distal lung epithelial progenitors from individual mice which give rise to differentiated epithelia in multiple in vitro assays. In contrast to 3DLD-isolated distal progenitor cells, classic manual tracheal ligation methods followed by lobe removal resulted in co-isolation of rare proximal progenitors with distal cells which altered the transcriptional landscape of distal organoid cultures. Thus, cell isolation with the 3DLD generates reproducible distal versus proximal progenitor populations and minimizes the potential for contaminating populations to confound in vitro assays.Highlights3DLD reproducibly separates lung lobes and extrapulmonary airways (bronchi/trachea)3DLD cell isolation yields consistent isolation of distal epithelial cells (DECs)Contamination of proximal cells in classic DEC isolations may alter in vitro results3DLD allows for simultaneous isolation of proximal and DECs from single animalseTOC blurb Alsafadi et al. describes a new method for simultaneous isolation of lung epithelial proximal and distal progenitors using the aid of a 3D printed device (3DLD). Both isolated cell types differentiate in multiple in vitro assays. The 3DLD guide minimized contamination of proximal cells in distal cell isolations whose presence can alter the transcriptional landscape of distal epithelial organoids.",NA,"na;  in contrast to 3dld-isolated distal progenitor cells, classic manual tracheal ligation methods followed by lobe removal resulted in co-isolation of rare proximal progenitors with distal cells which altered the transcriptional landscape of distal organoid cultures.;  the 3dld guide minimized contamination of proximal cells in distal cell isolations whose presence can alter the transcriptional landscape of distal epithelial organoid.; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ",trachea,unidentified,unidentified
585,"Hernandez-Moran, Brianda Areli and Papanastasiou, Andrew S and Parry, Dave and Meynert, Alison and Gautier, Phillipe and Grimes, Graeme and Adams, Ian R and Trejo-Reveles, Violeta and Bengani, Hemant and Keighren, Margaret and Jackson, Ian J and Adams, David J and FitzPatrick, David R and Rainger, Joe","Robust genetic analysis of the X-linked anophthalmic (Ie) mouse; NA; Anophthalmia (missing eye) describes a failure of early embryonic ocular development. Mutations in a relatively small set of genes account for 75\% of bilateral anophthalmia cases, yet 25\% of families currently are left without a molecular diagnosis. Here we report our experimental work that aimed to uncover the developmental and genetic basis of the anophthalmia characterising the X-linked Ie (eye-ear reduction) X-ray induced allele in mouse that was first identified in 1947. Histological analysis of the embryonic phenotype showed failure of normal eye development after the optic vesicle stage with particularly severe malformation of the ventral retina. Linkage analysis mapped this mutation to a \~{} 6Mb region on the X chromosome. Short and long read whole-genome sequencing (WGS) of affected and unaffected male littermates confirmed the Ie linkage but identified no plausible causative variants or structural rearrangements. These analyses did reduce the critical candidate interval and revealed evidence of multiple variants within the ancestral DNA, although none were found that altered coding sequences or that were unique to Ie. To investigate early embryonic events at a genetic level, we then generated mouse ES cells derived from male Ie embryos and wild type littermates. RNA-seq and accessible chromatin sequencing (ATAC-seq) data generated from cultured optic vesicle organoids did not reveal any large differences in gene expression or accessibility of putative cis-regulatory elements between Ie and wild type. However, an unbiased TF-footprinting analysis of accessible chromatin regions did provide evidence of a genome-wide reduction in binding of transcription factors associated with ventral eye development in Ie, and evidence of an increase in binding of the Zic-family of transcription factors, including Zic3, which is located within the Ie-refined critical interval. We conclude that the refined Ie critical region at chrX: 56,145,000-58,385,000 contains multiple genetic variants that may be linked to altered cis regulation but does not contain a convincing causative mutation. Changes in the binding of key transcription factors to chromatin causing altered gene expression during development, possibly through a subtle mis-regulation of Zic3, presents a plausible cause for the anophthalmia phenotype observed in Ie, but further work is required to determine the precise causative allele and its genetic mechanism.",NA,na;  rna-seq and accessible chromatin sequencing (atac-seq) data generated from cultured opticvesicle organoid did not reveal any large differences in gene expression or accessibility of putative cis-regulatory elements between ie and wild type.; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ,optic vesicle,OK,
713,"Marini{\'c}, Mirna and Lynch, Vincent J.","Derivation of endometrial gland organoids from term post-partum placenta; NA; A major limitation of recently developed methods for the generation of endometrial gland organoids is their reliance on decidua isolated from endometrial biopsies or elective termination of pregnancies. Here we report the successful establishment of endometrial gland organoids from decidua isolated from term placental membranes, as well as the identification of potential survival factors for the co-culture of gland organoids and endometrial stromal fibroblasts. These modifications facilitate the generation of patient-specific endometrial gland organoids with known pregnancy outcomes, such as term vs. preterm birth.",derivation of endometrialgland organoid from term post-partum placenta,"na; a major limitation of recently developed methods for the generation of endometrialgland organoid is their reliance on decidua isolated from endometrial biopsies or elective termination of pregnancies.;  here we report the successful establishment of endometrialgland organoid from decidua isolated from term placental membranes, as well as the identification of potential survival factors for the co-culture of gland organoid and endometrial stromal fibroblasts.;  these modifications facilitate the generation of patient-specific endometrialgland organoid with known pregnancy outcomes, such as term vs.; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ",endometrial gland,OK,
