pre_words,include
interface,n
patient,n
cell,n
pdx,n
ipsc,n
ileal,y
hipsc,n
human,n
biopsy,y
hesc,n
line,n
tumor,t
hipscs,n
tissue,y
aep,y
gem,n
gc,t
bec,y
intestinal,y
clonally,n
ose,y
asd,n
control,n
psc,n
liver,y
haec2,n
hescs,n
gut,y
colon,y
hpsc,n
fish,n
snr,n
duct,y
ph,y
bd,y
gbm,t
tumour,t
transwell,n
saph,n
abc,t
metastasis,t
3d,n
cholangiocyte,y
tube,y
cancer,t
pm,t
gland,y
crypt,y
isc,n
ascites,n
carcinoma,t
controls,n
pj,n
uc,y
pdac,t
adenocarcinoma,t
crc,t
nafld,y
13,NA
patients,n
pc,t
pituitary,y
ctc,t
tract,y
aspiration,n
oc,t
ctcs,t
xenograft,n
progenitor,y
cra,t
placenta,y
adenomyosis,y
nonpolyp,n
hc,n
ileum,y
cam,n
neurosphere,n
ftc,t
nodule,n
ptc,t
cd,y
esc,n
cs,t
mrcc,t
neuroectoderm,n
kpc,n
vitro,n
bile,n
acc,t
iec,y
duodenal,y
endoderm,y
endometrial,y
ipmn,t
cck2r,n
usc,n
1q,n
slug,n
mt,n
mcrpc,t
hips,n
epithelium,y
fetal,n
1,n
luminal,n
rectum,y
gallbladder,y
pdox,n
intestine,y
stomach,y
hnscc,t
corpus,y
rccs,n
basal,n
ad,n
surgically,n
healthy,n
plc,t
seckelips,n
pscs,n
fundic,y
mouse,n
thyroid,y
epithelial,y
adsc,n
hnc,t
culture,n
intestinally,y
lung,y
system,n
patient's,n
adult,y
colonic,y
clone,n
ipscs,n
immortalized,n
urine,y
msc,n
13,n
turtle,y
ctd,y
pancreas,y
canine,y
conventionally,n
3,n
nich,y
ips,n
adhd,y
preterm,y
rosette,y
m2,n
jejunum,y
hpc,n
