pre_words,include
trophoblast,n
pluripotent,n
human,n
totipotent,n
embryonic,n
adult,y
cell,n
neuroepithelial,y
intestinal,y
epithelial,y
mammary,y
cancer,t
neural,y
study,n
breast,y
mesenchymal,n
cd49fhigh,n
urothelial,y
cellmscmesenchymal,n
crypt,y
including,n
integrated,n
blood,y
leukemic,t
crest,y
derived,n
lgr5,n
columnar,y
resident,n
patient,y
2d,n
flat,n
enable,n
revival,n
initial,n
glioblastoma,t
liver,y
altered,n
somatic,y
quiescent,n
reduce,n
defined,n
defining,n
regional,n
epiblast,n
multipotent,n
basal,n
colonic,y
activated,n
tissue,y
pituitary,y
neonatal,y
additional,n
understanding,n
shapes,n
impacts,n
extraembryonic,n
employing,n
summary,n
affects,n
3d,n
potential,n
ai,n
artificial,n
reveal,n
sox2,n
alter,n
establish,n
putative,n
mouse,n
tumour,t
gbm,t
tube,y
ft,y
balances,n
gastric,y
isthmus,n
antagonize,n
facultative,n
sensitive,n
gut,y
stimulate,n
orchestrate,n
muc6,n
analyzed,n
count,n
colon,y
spermatogonial,y
germline,n
studying,n
maintaining,n
provokes,n
caudalized,n
neuronal,y
decreased,n
alveolar,y
prostate,y
expressing,n
glial,y
vitro,n
differentiating,n
governs,n
responsive,n
directing,n
modulate,n
follicle,y
orthologous,n
programming,n
free,n
vivo,n
driven,n
lung,y
gastrointestinal,y
individual,n
incorporates,n
rectal,y
dimensional,n
midgut,n
control,n
guide,n
distinct,n
ly6a,n
hematopoietic,y
master,n
glioma,t
pca,t
single,n
trophoblastic,n
active,n
tree,n
regenerative,n
hepatic,y
induced,n
dysplastic,n
utilized,n
crc,t
cycling,n
hf,n
bronchoalveolar,y
bronchioalveolar,y
deciphering,n
scap,n
reserve,n
base,n
aldh1,n
modern,n
cervical,y
tumor,t
exhibit,n
ectocervical,y
induce,n
pulp,y
wnt,n
counterpart,n
endogenous,n
stromal,y
driving,n
bipotent,n
exploring,n
local,n
glands,y
esophageal,y
resembled,n
epidermal,y
isolate,n
combining,n
kidney,y
diverse,n
fibroid,y
myometrial,y
collective,n
deficient,n
governing,n
conferring,n
sclerosis,n
tnbc,n
initiating,n
target,n
proliferating,n
steer,n
organoid,n
extrahepatic,y
endothelial,y
transplanted,n
upregulated,n
gland's,y
turbinate,y
promotes,n
sgs,n
inhibited,n
encourage,n
support,n
controls,n
modified,n
mutated,n
regulating,n
enhanced,n
disrupts,n
classical,n
uniform,n
affected,n
differentiated,n
at2,n
activating,n
mirroring,n
cd133,n
urine,y
sanford,n
animal,n
pallial,y
established,n
antral,y
regulate,n
exhibiting,n
normal,n
bioengineered,n
organizing,n
direct,n
confirmed,n
primary,n
rapid,n
dependent,n
homeostatic,n
taste,y
generate,n
sensitize,n
drosophila,n
nonhematopoietic,n
controlling,n
efflux,n
increased,n
acute,n
pluripotential,n
proliferative,n
adipose,y
powered,n
invasive,n
targeted,n
engineering,n
mature,n
low,n
specific,n
impaired,n
ligament,y
lineage,n
trophectoderm,n
analyze,n
postnatal,y
compared,n
downregulated,n
impairs,n
lg,n
utilizing,n
types,n
fluid,n
gi,y
learning,n
hybrid,n
key,n
inducible,n
xen,n
gland,y
clonogenic,n
harbor,n
evaluated,n
seeding,n
lingual,y
forming,n
specialized,n
enabling,n
positive,n
combines,n
mammalian,n
expressed,n
engineer,n
sustains,n
regulates,n
leverage,n
injected,n
downregulating,n
augment,n
developed,n
switchable,n
increasing,n
preclinical,n
mutant,n
axial,n
resistant,n
vaginal,y
determining,n
reporter,n
classify,n
limbal,y
adaptive,n
renal,y
olfactory,y
initiate,n
intestine,y
murine,n
glandular,y
canonical,n
facilitate,n
dictating,n
maintains,n
cbc,n
alters,n
promoted,n
involve,n
rare,n
protects,n
recognized,n
circumvallate,y
maintain,n
unimpeded,n
protected,n
dysfunctional,n
targeting,n
restored,n
pyloric,y
stomach,y
progenitor,y
pneumocyte,y
utilize,n
endometrial,y
disorganized,n
permitted,n
integrating,n
evaluate,n
egfphigh,n
mixing,n
irradiated,n
renewing,n
daughter,n
live,n
retaining,n
functional,n
programs,n
purified,n
marrow,y
dedicated,n
skin,y
unlimited,n
defines,n
aged,n
analysed,n
hair,n
controllable,n
express,n
harboring,n
targets,n
principle,n
renewable,n
enhances,n
compare,n
crucial,n
biobanked,n
pulipotent,n
lgr5high,n
efficient,n
affect,n
pdac,t
activate,n
secreted,n
demanding,n
affords,n
sg,y
transplanting,n
keratinocyte,y
expand,n
exploits,n
clone,n
remarkable,n
increase,n
improve,n
covering,n
edge,n
compromised,n
paneth,y
mimic,n
principal,n
tm,n
optimizing,n
cocultured,n
labeling,n
star,n
density,n
natural,n
airway,y
organotypic,n
fte,y
ileal,y
global,n
sustaining,n
silences,n
equine,n
multiple,n
form,n
salivary,y
influence,n
epithelium,y
