"type","corpus_F","year","n","year_plus_one","growth","average_growth"
"Preprint","OoC","2017",2,11,5.5,2.25544922913344
"Preprint","OoC","2018",11,19,1.72727272727273,2.25544922913344
"Preprint","OoC","2019",19,33,1.73684210526316,2.25544922913344
"Preprint","OoC","2020",33,36,1.09090909090909,2.25544922913344
"Preprint","OoC","2021",36,44,1.22222222222222,2.25544922913344
"Preprint","organoid","2014",1,1,1,2.5813347750021
"Preprint","organoid","2015",1,7,7,2.5813347750021
"Preprint","organoid","2016",7,28,4,2.5813347750021
"Preprint","organoid","2017",28,57,2.03571428571429,2.5813347750021
"Preprint","organoid","2018",57,139,2.43859649122807,2.5813347750021
"Preprint","organoid","2019",139,253,1.82014388489209,2.5813347750021
"Preprint","organoid","2020",253,281,1.11067193675889,2.5813347750021
"Preprint","organoid","2021",281,350,1.24555160142349,2.5813347750021
"Preprint","ToC","2019",1,3,3,2.44444444444444
"Preprint","ToC","2020",3,1,0.333333333333333,2.44444444444444
"Preprint","ToC","2021",1,4,4,2.44444444444444
"Preprint","tumor_organoid","2017",5,10,2,1.79554538520214
"Preprint","tumor_organoid","2018",10,20,2,1.79554538520214
"Preprint","tumor_organoid","2019",20,46,2.3,1.79554538520214
"Preprint","tumor_organoid","2020",46,57,1.23913043478261,1.79554538520214
"Preprint","tumor_organoid","2021",57,82,1.43859649122807,1.79554538520214
"Research article","OoC","2011",8,17,2.125,1.50139947572935
"Research article","OoC","2012",17,40,2.35294117647059,1.50139947572935
"Research article","OoC","2013",40,38,0.95,1.50139947572935
"Research article","OoC","2014",38,65,1.71052631578947,1.50139947572935
"Research article","OoC","2015",65,119,1.83076923076923,1.50139947572935
"Research article","OoC","2016",119,154,1.29411764705882,1.50139947572935
"Research article","OoC","2017",154,226,1.46753246753247,1.50139947572935
"Research article","OoC","2018",226,241,1.06637168141593,1.50139947572935
"Research article","OoC","2019",241,324,1.34439834024896,1.50139947572935
"Research article","OoC","2020",324,396,1.22222222222222,1.50139947572935
"Research article","OoC","2021",396,456,1.15151515151515,1.50139947572935
"Research article","organoid","2011",42,57,1.35714285714286,1.41071766310133
"Research article","organoid","2012",57,95,1.66666666666667,1.41071766310133
"Research article","organoid","2013",95,118,1.24210526315789,1.41071766310133
"Research article","organoid","2014",118,175,1.48305084745763,1.41071766310133
"Research article","organoid","2015",175,272,1.55428571428571,1.41071766310133
"Research article","organoid","2016",272,438,1.61029411764706,1.41071766310133
"Research article","organoid","2017",438,631,1.44063926940639,1.41071766310133
"Research article","organoid","2018",631,825,1.30744849445325,1.41071766310133
"Research article","organoid","2019",825,1207,1.4630303030303,1.41071766310133
"Research article","organoid","2020",1207,1463,1.21209610604805,1.41071766310133
"Research article","organoid","2021",1463,1728,1.18113465481887,1.41071766310133
"Research article","ToC","2011",1,3,3,1.58519664941041
"Research article","ToC","2013",3,4,1.33333333333333,1.58519664941041
"Research article","ToC","2014",4,9,2.25,1.58519664941041
"Research article","ToC","2015",9,16,1.77777777777778,1.58519664941041
"Research article","ToC","2016",16,16,1,1.58519664941041
"Research article","ToC","2017",16,19,1.1875,1.58519664941041
"Research article","ToC","2018",19,30,1.57894736842105,1.58519664941041
"Research article","ToC","2019",30,45,1.5,1.58519664941041
"Research article","ToC","2020",45,61,1.35555555555556,1.58519664941041
"Research article","ToC","2021",61,53,0.868852459016393,1.58519664941041
"Research article","tumor_organoid","2011",11,10,0.909090909090909,1.4507629315708
"Research article","tumor_organoid","2012",10,15,1.5,1.4507629315708
"Research article","tumor_organoid","2013",15,18,1.2,1.4507629315708
"Research article","tumor_organoid","2014",18,29,1.61111111111111,1.4507629315708
"Research article","tumor_organoid","2015",29,51,1.75862068965517,1.4507629315708
"Research article","tumor_organoid","2016",51,98,1.92156862745098,1.4507629315708
"Research article","tumor_organoid","2017",98,135,1.37755102040816,1.4507629315708
"Research article","tumor_organoid","2018",135,200,1.48148148148148,1.4507629315708
"Research article","tumor_organoid","2019",200,305,1.525,1.4507629315708
"Research article","tumor_organoid","2020",305,439,1.43934426229508,1.4507629315708
"Research article","tumor_organoid","2021",439,542,1.23462414578588,1.4507629315708
"Review","OoC","2011",5,10,2,1.49096137011712
"Review","OoC","2012",10,20,2,1.49096137011712
"Review","OoC","2013",20,27,1.35,1.49096137011712
"Review","OoC","2014",27,26,0.962962962962963,1.49096137011712
"Review","OoC","2015",26,60,2.30769230769231,1.49096137011712
"Review","OoC","2016",60,76,1.26666666666667,1.49096137011712
"Review","OoC","2017",76,109,1.43421052631579,1.49096137011712
"Review","OoC","2018",109,124,1.13761467889908,1.49096137011712
"Review","OoC","2019",124,179,1.44354838709677,1.49096137011712
"Review","OoC","2020",179,274,1.53072625698324,1.49096137011712
"Review","OoC","2021",274,265,0.967153284671533,1.49096137011712
"Review","organoid","2011",1,7,7,2.15501840065059
"Review","organoid","2012",7,18,2.57142857142857,2.15501840065059
"Review","organoid","2013",18,24,1.33333333333333,2.15501840065059
"Review","organoid","2014",24,37,1.54166666666667,2.15501840065059
"Review","organoid","2015",37,107,2.89189189189189,2.15501840065059
"Review","organoid","2016",107,154,1.4392523364486,2.15501840065059
"Review","organoid","2017",154,236,1.53246753246753,2.15501840065059
"Review","organoid","2018",236,292,1.23728813559322,2.15501840065059
"Review","organoid","2019",292,494,1.69178082191781,2.15501840065059
"Review","organoid","2020",494,760,1.53846153846154,2.15501840065059
"Review","organoid","2021",760,705,0.927631578947368,2.15501840065059
"Review","ToC","2013",2,3,1.5,1.57237151520777
"Review","ToC","2014",3,2,0.666666666666667,1.57237151520777
"Review","ToC","2015",2,7,3.5,1.57237151520777
"Review","ToC","2016",7,7,1,1.57237151520777
"Review","ToC","2017",7,14,2,1.57237151520777
"Review","ToC","2018",14,19,1.35714285714286,1.57237151520777
"Review","ToC","2019",19,27,1.42105263157895,1.57237151520777
"Review","ToC","2020",27,40,1.48148148148148,1.57237151520777
"Review","ToC","2021",40,49,1.225,1.57237151520777
"Review","tumor_organoid","2012",2,1,0.5,2.30218218979089
"Review","tumor_organoid","2013",1,9,9,2.30218218979089
"Review","tumor_organoid","2014",9,3,0.333333333333333,2.30218218979089
"Review","tumor_organoid","2015",3,10,3.33333333333333,2.30218218979089
"Review","tumor_organoid","2016",10,22,2.2,2.30218218979089
"Review","tumor_organoid","2017",22,44,2,2.30218218979089
"Review","tumor_organoid","2018",44,52,1.18181818181818,2.30218218979089
"Review","tumor_organoid","2019",52,92,1.76923076923077,2.30218218979089
"Review","tumor_organoid","2020",92,144,1.56521739130435,2.30218218979089
"Review","tumor_organoid","2021",144,164,1.13888888888889,2.30218218979089
"Research article","tumor research","2011",93327,103647,1.11057893214182,1.05376434988961
"Research article","tumor research","2012",103647,110398,1.06513454320916,1.05376434988961
"Research article","tumor research","2013",110398,116453,1.05484700809797,1.05376434988961
"Research article","tumor research","2014",116453,123338,1.05912256446807,1.05376434988961
"Research article","tumor research","2015",123338,124961,1.01315896155281,1.05376434988961
"Research article","tumor research","2016",124961,130611,1.04521410680132,1.05376434988961
"Research article","tumor research","2017",130611,137800,1.05504130586245,1.05376434988961
"Research article","tumor research","2018",137800,146945,1.06636429608128,1.05376434988961
"Research article","tumor research","2019",146945,161705,1.10044574500664,1.05376434988961
"Research article","tumor research","2020",161705,170675,1.05547138307412,1.05376434988961
"Research article","tumor research","2021",170675,164877,0.966029002490113,1.05376434988961
